epoch,sigma,is_clean,spearman,pearson,ratio,gate_mean,intra_mean,n_eval
2,0.0,1,0.628641,0.615862,1.0,nan,1.920894e-06,16
2,1.00000000e-03,0,0.627875,0.613224,0.998781,nan,1.922142e-06,16
2,2.51188643e-03,0,0.629699,0.616958,1.001683,nan,1.920801e-06,16
2,6.30957344e-03,0,0.628768,0.615717,1.000203,nan,1.918398e-06,16
2,1.58489319e-02,0,0.625064,0.613858,0.994311,nan,1.922549e-06,16
2,3.98107171e-02,0,0.621867,0.605356,0.989225,nan,1.989904e-06,16
2,1.00000000e-01,0,0.573156,0.565359,0.911738,nan,2.540675e-06,16
4,0.0,1,0.704667,0.716412,1.0,nan,3.143055e-06,16
4,1.00000000e-03,0,0.704452,0.716622,0.999694,nan,3.155049e-06,16
4,2.51188643e-03,0,0.701271,0.715554,0.995181,nan,3.139917e-06,16
4,6.30957344e-03,0,0.701651,0.714543,0.995719,nan,3.143276e-06,16
4,1.58489319e-02,0,0.702614,0.713589,0.997086,nan,3.189051e-06,16
4,3.98107171e-02,0,0.702685,0.715954,0.997188,nan,3.332329e-06,16
4,1.00000000e-01,0,0.685853,0.696784,0.973301,nan,4.213928e-06,16
6,0.0,1,0.710091,0.738493,1.0,nan,6.067079e-06,16
6,1.00000000e-03,0,0.707100,0.735587,0.995788,nan,6.096335e-06,16
6,2.51188643e-03,0,0.712554,0.740068,1.003469,nan,6.075297e-06,16
6,6.30957344e-03,0,0.711093,0.738428,1.001412,nan,6.062459e-06,16
6,1.58489319e-02,0,0.710302,0.735140,1.000297,nan,6.138498e-06,16
6,3.98107171e-02,0,0.708042,0.734678,0.997115,nan,6.370496e-06,16
6,1.00000000e-01,0,0.663444,0.688606,0.934309,nan,8.163188e-06,16
8,0.0,1,0.690874,0.719426,1.0,nan,1.102313e-05,16
8,1.00000000e-03,0,0.690583,0.719531,0.999578,nan,1.111193e-05,16
8,2.51188643e-03,0,0.694229,0.722286,1.004855,nan,1.107250e-05,16
8,6.30957344e-03,0,0.689124,0.717672,0.997467,nan,1.109835e-05,16
8,1.58489319e-02,0,0.692722,0.719320,1.002674,nan,1.095770e-05,16
8,3.98107171e-02,0,0.681827,0.710522,0.986905,nan,1.166617e-05,16
8,1.00000000e-01,0,0.676596,0.702714,0.979332,nan,1.486515e-05,16
10,0.0,1,0.728231,0.750076,1.0,nan,1.212577e-05,16
10,1.00000000e-03,0,0.727497,0.749393,0.998992,nan,1.218654e-05,16
10,2.51188643e-03,0,0.726722,0.749889,0.997927,nan,1.225013e-05,16
10,6.30957344e-03,0,0.725627,0.748688,0.996424,nan,1.224205e-05,16
10,1.58489319e-02,0,0.722476,0.744988,0.992097,nan,1.246387e-05,16
10,3.98107171e-02,0,0.731949,0.756505,1.005105,nan,1.333859e-05,16
10,1.00000000e-01,0,0.705618,0.728484,0.968948,nan,1.850809e-05,16
12,0.0,1,0.724807,0.758502,1.0,nan,1.585781e-05,16
12,1.00000000e-03,0,0.723161,0.756880,0.997729,nan,1.597975e-05,16
12,2.51188643e-03,0,0.724148,0.758695,0.999090,nan,1.599840e-05,16
12,6.30957344e-03,0,0.723981,0.758084,0.998860,nan,1.593017e-05,16
12,1.58489319e-02,0,0.721008,0.756124,0.994759,nan,1.617625e-05,16
12,3.98107171e-02,0,0.715990,0.750140,0.987834,nan,1.783212e-05,16
12,1.00000000e-01,0,0.701357,0.736494,0.967646,nan,2.517039e-05,16
14,0.0,1,0.735593,0.771862,1.0,nan,2.371798e-05,16
