epoch,xtopo_mesh_clean,xtopo_mesh_pearson,xtopo_mesh_n_pairs
1,nan,nan,0
2,0.250374,0.242689,3600
3,0.250374,0.242689,3600
4,0.372367,0.381286,3600
5,0.372367,0.381286,3600
6,0.426383,0.449508,3600
7,0.426383,0.449508,3600
8,0.430804,0.464253,3600
9,0.430804,0.464253,3600
10,0.518859,0.549470,3600
11,0.518859,0.549470,3600
12,0.530929,0.554811,3600
13,0.530929,0.554811,3600
14,0.510904,0.545558,3600
15,0.510904,0.545558,3600
16,0.595260,0.630760,3600
17,0.595260,0.630760,3600
18,0.588998,0.623344,3600
19,0.588998,0.623344,3600
20,0.652799,0.688467,3600
21,0.652799,0.688467,3600
22,0.636437,0.669582,3600
23,0.636437,0.669582,3600
24,0.642421,0.684487,3600
25,0.642421,0.684487,3600
26,0.659075,0.682705,3600
27,0.659075,0.682705,3600
28,0.624268,0.648679,3600
29,0.624268,0.648679,3600
30,0.586245,0.602144,3600
31,0.586245,0.602144,3600
32,0.646166,0.664816,3600
33,0.646166,0.664816,3600
34,0.639462,0.678148,3600
35,0.639462,0.678148,3600
36,0.628148,0.668704,3600
37,0.628148,0.668704,3600
38,0.643159,0.663683,3600
39,0.643159,0.663683,3600
40,0.658771,0.684460,3600
41,0.658771,0.684460,3600
42,0.677630,0.706287,3600
43,0.677630,0.706287,3600
44,0.715372,0.742766,3600
45,0.715372,0.742766,3600
46,0.690332,0.711649,3600
47,0.690332,0.711649,3600
48,0.704555,0.728608,3600
49,0.704555,0.728608,3600
50,0.702890,0.739328,3600
51,0.702890,0.739328,3600
52,0.704000,0.744549,3600
53,0.704000,0.744549,3600
54,0.688523,0.727097,3600
55,0.688523,0.727097,3600
56,0.690220,0.725007,3600
57,0.690220,0.725007,3600
58,0.688571,0.724197,3600
59,0.688571,0.724197,3600
60,0.679482,0.705801,3600
61,0.679482,0.705801,3600
62,0.690008,0.718540,3600
63,0.690008,0.718540,3600
64,0.712856,0.742482,3600
65,0.712856,0.742482,3600
66,0.688489,0.718378,3600
67,0.688489,0.718378,3600
68,0.734795,0.756008,3600
69,0.734795,0.756008,3600
70,0.716557,0.752800,3600
71,0.716557,0.752800,3600
72,0.697308,0.734303,3600
73,0.697308,0.734303,3600
74,0.691706,0.707940,3600
75,0.691706,0.707940,3600
76,0.726344,0.746691,3600
77,0.726344,0.746691,3600
78,0.728128,0.765394,3600
79,0.728128,0.765394,3600
80,0.722694,0.751543,3600
81,0.722694,0.751543,3600
82,0.748369,0.774026,3600
83,0.748369,0.774026,3600
84,0.729921,0.758416,3600
85,0.729921,0.758416,3600
86,0.724187,0.752697,3600
87,0.724187,0.752697,3600
88,0.720873,0.749123,3600
89,0.720873,0.749123,3600
90,0.728556,0.755275,3600
91,0.728556,0.755275,3600
92,0.730462,0.767422,3600
93,0.730462,0.767422,3600
94,0.737917,0.769825,3600
95,0.737917,0.769825,3600
96,0.723231,0.754378,3600
97,0.723231,0.754378,3600
98,0.740538,0.770786,3600
99,0.740538,0.770786,3600
100,0.730347,0.763216,3600
101,0.730347,0.763216,3600
102,0.729901,0.764498,3600
103,0.729901,0.764498,3600
104,0.732075,0.765454,3600
105,0.732075,0.765454,3600
106,0.733590,0.768670,3600
107,0.733590,0.768670,3600
108,0.738415,0.768321,3600
109,0.738415,0.768321,3600
110,0.742992,0.771746,3600
111,0.742992,0.771746,3600
112,0.740057,0.768120,3600
113,0.740057,0.768120,3600
114,0.739271,0.770411,3600
115,0.739271,0.770411,3600
116,0.738504,0.770714,3600
117,0.738504,0.770714,3600
118,0.733799,0.765212,3600
119,0.733799,0.765212,3600
120,0.734213,0.764397,3600
