epoch,loss,stress,rank,id,smooth,teacher,lr,spearman_clean,pearson_clean,auc_r,gate_mean_clean,gate_mean_noisy_max,spearman_noisy_max,ratio_noisy_max,intra_clean,n_eval
1,0.080782,0.033759,0.094040,0.000011,0.000000,0.000000,1.00e-04,nan,nan,nan,nan,nan,nan,nan,nan,0
2,0.075286,0.030648,0.089270,0.000013,0.000000,0.000000,1.00e-04,0.628641,0.615862,0.988136,nan,nan,0.573156,0.911738,1.920894e-06,16
3,0.071598,0.028734,0.085719,0.000014,0.000000,0.000000,1.00e-04,0.628641,0.615862,0.988136,nan,nan,0.573156,0.911738,1.920894e-06,16
4,0.065705,0.026050,0.079301,0.000017,0.000000,0.000000,1.00e-04,0.704667,0.716412,0.994334,nan,nan,0.685853,0.973301,3.143055e-06,16
5,0.058730,0.023775,0.069898,0.000023,0.000000,0.000000,1.00e-04,0.704667,0.716412,0.994334,nan,nan,0.685853,0.973301,3.143055e-06,16
6,0.057718,0.026574,0.062273,0.000030,0.000000,0.000000,1.00e-04,0.710091,0.738493,0.993468,nan,nan,0.663444,0.934309,6.067079e-06,16
7,0.053081,0.024387,0.057369,0.000037,0.000000,0.000000,1.00e-04,0.710091,0.738493,0.993468,nan,nan,0.663444,0.934309,6.067079e-06,16
8,0.048535,0.022874,0.051300,0.000046,0.000000,0.000000,1.00e-04,0.690874,0.719426,0.996271,nan,nan,0.676596,0.979332,1.102313e-05,16
9,0.046856,0.022978,0.047729,0.000052,0.000000,0.000000,1.00e-04,0.690874,0.719426,0.996271,nan,nan,0.676596,0.979332,1.102313e-05,16
10,0.044497,0.022047,0.044869,0.000063,0.000000,0.000000,1.00e-04,0.728231,0.750076,0.995105,nan,nan,0.705618,0.968948,1.212577e-05,16
11,0.042634,0.021362,0.042509,0.000068,0.000000,0.000000,1.00e-04,0.728231,0.750076,0.995105,nan,nan,0.705618,0.968948,1.212577e-05,16
12,0.040929,0.020856,0.040111,0.000073,0.000000,0.000000,1.00e-04,0.724807,0.758502,0.992646,nan,nan,0.701357,0.967646,1.585781e-05,16
13,0.035920,0.018551,0.034694,0.000086,0.000000,0.000000,1.00e-04,0.724807,0.758502,0.992646,nan,nan,0.701357,0.967646,1.585781e-05,16
14,0.036284,0.019391,0.033738,0.000095,0.000000,0.000000,1.00e-04,0.735593,0.771862,0.993924,nan,nan,0.707588,0.961930,2.371798e-05,16
15,0.040009,0.021011,0.037946,0.000097,0.000000,0.000000,1.00e-04,0.735593,0.771862,0.993924,nan,nan,0.707588,0.961930,2.371798e-05,16
