method,pearson_r,spearman_r,n_points,pearson_valid
3DDFAV2_23470_neutral,-0.2250707689946708,-0.19999999999999998,5,False
3DDFAV3_neutral,-0.8837541640565889,-0.9999999999999999,5,False
Deep3DFace_23470_neutral,-0.9384206854399989,-0.9999999999999999,5,False
SynergyNet_neutral,-0.9019964024285728,-0.9999999999999999,5,False
INORig_23470_neutral,-0.9999909730592467,-1.0,3,False
3DI_neutral,,,1,False
