scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,template_icp_chamfer
rotation,38,same_subject,id0489,down8k,id0489_GTready_down8k,id0489,up60k,id0489_GTready_up60k,0.0,0.08460638672113419,0.0004194568609818816,0.0023797969333827496
rotation,39,same_subject,id0489,noisy,id0489_GTready_noisy,id0489,original,id0489_GTready_original,0.0,0.18848976492881775,0.00036700881901197135,0.0013151068706065416
rotation,40,same_subject,id0489,noisy,id0489_GTready_noisy,id0489,remesh,id0489_GTready_remesh,0.0,0.18507002294063568,0.0008558209519833326,0.002350324997678399
rotation,41,same_subject,id0489,noisy,id0489_GTready_noisy,id0489,up60k,id0489_GTready_up60k,0.0,0.17309674620628357,0.00038621126441285014,0.0007905531674623489
rotation,42,same_subject,id0489,original,id0489_GTready_original,id0489,remesh,id0489_GTready_remesh,0.0,0.1824076920747757,0.0010451264679431915,0.000684043625369668
rotation,43,same_subject,id0489,original,id0489_GTready_original,id0489,up60k,id0489_GTready_up60k,0.0,0.1417825073003769,0.0006994222057983279,0.0018061324954032898
rotation,44,same_subject,id0489,remesh,id0489_GTready_remesh,id0489,up60k,id0489_GTready_up60k,0.0,0.13081616163253784,0.00101186940446496,0.003596820402890444
rotation,45,different_subject,id0478,crop,id0478_GTready_crop,id0485,down8k,id0485_GTready_down8k,0.34237438440322876,0.45857638120651245,0.017782192677259445,0.015940003097057343
rotation,46,different_subject,id0478,crop,id0478_GTready_crop,id0485,noisy,id0485_GTready_noisy,0.34237438440322876,0.5119223594665527,0.011417508125305176,0.009352073073387146
rotation,47,different_subject,id0478,crop,id0478_GTready_crop,id0485,original,id0485_GTready_original,0.34237438440322876,0.48119547963142395,0.011384683661162853,0.007830481976270676
rotation,48,different_subject,id0478,crop,id0478_GTready_crop,id0485,remesh,id0485_GTready_remesh,0.34237438440322876,0.4935714304447174,0.011701663956046104,0.006101161241531372
rotation,49,different_subject,id0478,crop,id0478_GTready_crop,id0485,up60k,id0485_GTready_up60k,0.34237438440322876,0.5121810436248779,0.015329385176301003,0.008228590711951256
rotation,50,different_subject,id0478,crop,id0478_GTready_crop,id0489,down8k,id0489_GTready_down8k,0.4157305955886841,0.6191157102584839,0.02519015595316887,0.017880460247397423
rotation,51,different_subject,id0478,crop,id0478_GTready_crop,id0489,noisy,id0489_GTready_noisy,0.4157305955886841,0.5608692765235901,0.0166989304125309,0.013231462799012661
rotation,52,different_subject,id0478,crop,id0478_GTready_crop,id0489,original,id0489_GTready_original,0.4157305955886841,0.6128755211830139,0.016906972974538803,0.01262759231030941
rotation,53,different_subject,id0478,crop,id0478_GTready_crop,id0489,remesh,id0489_GTready_remesh,0.4157305955886841,0.6212340593338013,0.01559720654040575,0.011706235818564892
rotation,54,different_subject,id0478,crop,id0478_GTready_crop,id0489,up60k,id0489_GTready_up60k,0.4157305955886841,0.6315217018127441,0.02123308554291725,0.011665219441056252
rotation,55,different_subject,id0478,down8k,id0478_GTready_down8k,id0485,crop,id0485_GTready_crop,0.34237438440322876,0.4095860421657562,0.008979120291769505,0.006175970658659935
rotation,56,different_subject,id0478,down8k,id0478_GTready_down8k,id0485,noisy,id0485_GTready_noisy,0.34237438440322876,0.35008004307746887,0.0011503881542012095,0.002147956984117627
rotation,57,different_subject,id0478,down8k,id0478_GTready_down8k,id0485,original,id0485_GTready_original,0.34237438440322876,0.3605670630931854,0.0014115488156676292,0.0021603850182145834
rotation,58,different_subject,id0478,down8k,id0478_GTready_down8k,id0485,remesh,id0485_GTready_remesh,0.34237438440322876,0.3774143159389496,0.0020835427567362785,0.0016988720744848251
rotation,59,different_subject,id0478,down8k,id0478_GTready_down8k,id0485,up60k,id0485_GTready_up60k,0.34237438440322876,0.35728055238723755,0.0013120234943926334,0.0013806929346174002
rotation,60,different_subject,id0478,down8k,id0478_GTready_down8k,id0489,crop,id0489_GTready_crop,0.4157305955886841,0.5024248361587524,0.007059821393340826,0.004670767579227686
rotation,61,different_subject,id0478,down8k,id0478_GTready_down8k,id0489,noisy,id0489_GTready_noisy,0.4157305955886841,0.47705700993537903,0.0015022787265479565,0.0018186107045039535
rotation,62,different_subject,id0478,down8k,id0478_GTready_down8k,id0489,original,id0489_GTready_original,0.4157305955886841,0.5482528805732727,0.0018648426048457623,0.002250256948173046
rotation,63,different_subject,id0478,down8k,id0478_GTready_down8k,id0489,remesh,id0489_GTready_remesh,0.4157305955886841,0.5317457318305969,0.0021711415611207485,0.0032413392327725887
rotation,64,different_subject,id0478,down8k,id0478_GTready_down8k,id0489,up60k,id0489_GTready_up60k,0.4157305955886841,0.5478218793869019,0.002405834384262562,0.0014616153202950954
rotation,65,different_subject,id0478,noisy,id0478_GTready_noisy,id0485,crop,id0485_GTready_crop,0.34237438440322876,0.48171406984329224,0.0032691089436411858,0.0031590601429343224
rotation,66,different_subject,id0478,noisy,id0478_GTready_noisy,id0485,down8k,id0485_GTready_down8k,0.34237438440322876,0.4592953026294708,0.00383822456933558,0.004858553409576416
rotation,67,different_subject,id0478,noisy,id0478_GTready_noisy,id0485,original,id0485_GTready_original,0.34237438440322876,0.4577772915363312,0.0014627394266426563,0.001686648465692997
rotation,68,different_subject,id0478,noisy,id0478_GTready_noisy,id0485,remesh,id0485_GTready_remesh,0.34237438440322876,0.4788437485694885,0.0020854161120951176,0.0013356523122638464
rotation,69,different_subject,id0478,noisy,id0478_GTready_noisy,id0485,up60k,id0485_GTready_up60k,0.34237438440322876,0.4809177815914154,0.0027474991511553526,0.001615975983440876
rotation,70,different_subject,id0478,noisy,id0478_GTready_noisy,id0489,crop,id0489_GTready_crop,0.4157305955886841,0.5779947638511658,0.0028306501917541027,0.002377896336838603
rotation,71,different_subject,id0478,noisy,id0478_GTready_noisy,id0489,down8k,id0489_GTready_down8k,0.4157305955886841,0.6164209842681885,0.007124326191842556,0.005406029522418976
rotation,72,different_subject,id0478,noisy,id0478_GTready_noisy,id0489,original,id0489_GTready_original,0.4157305955886841,0.6134645938873291,0.003540853038430214,0.002992187859490514
rotation,73,different_subject,id0478,noisy,id0478_GTready_noisy,id0489,remesh,id0489_GTready_remesh,0.4157305955886841,0.610471785068512,0.0034361660946160555,0.0036842389963567257
rotation,74,different_subject,id0478,noisy,id0478_GTready_noisy,id0489,up60k,id0489_GTready_up60k,0.4157305955886841,0.6279615759849548,0.0053744264878332615,0.002555031096562743
rotation,75,different_subject,id0478,original,id0478_GTready_original,id0485,crop,id0485_GTready_crop,0.34237438440322876,0.4403567314147949,0.0038691465742886066,0.003953131847083569
rotation,76,different_subject,id0478,original,id0478_GTready_original,id0485,down8k,id0485_GTready_down8k,0.34237438440322876,0.4146503508090973,0.004557996056973934,0.005916164256632328
rotation,77,different_subject,id0478,original,id0478_GTready_original,id0485,noisy,id0485_GTready_noisy,0.34237438440322876,0.43188461661338806,0.0021709254942834377,0.00328563223592937
rotation,78,different_subject,id0478,original,id0478_GTready_original,id0485,remesh,id0485_GTready_remesh,0.34237438440322876,0.43933117389678955,0.0025134440511465073,0.0019815510604530573
rotation,79,different_subject,id0478,original,id0478_GTready_original,id0485,up60k,id0485_GTready_up60k,0.34237438440322876,0.45873406529426575,0.0035755347926169634,0.0018296262715011835
