scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.577300,0.639175,-0.061875,0.588041,0.633116,-0.045075,0,110,110,5995,5995,5995
jitter,gt_vertex_mean_l2,2.000000e-01,0.000000e+00,0.000000e+00,0.000000,0.000000,0.539226,0.380618,0.158608,0.570110,0.432822,0.137288,1,110,110,5995,5995,5995
