metric,n,median,iqr,iqr_over_raw_PAPER,median_over_raw,iqr_over_median,rel_spread_over_raw,cv,cv_over_raw
raw_chamfer,148500,0.04453102589,0.02017578307,1.0,1.0,0.45307249646208414,1.0,0.3347124869,1.0
rigid_p2p,148500,0.03509704995,0.01083511492,0.5370356574,0.788148246,0.3087186796450395,0.6813891420373935,0.2471946563,0.7385283369301153
nicp_p2p,148500,0.02875770507,0.004412835864,0.2187194346,0.6457903113,0.1534488184386961,0.33868491165748266,0.1218238196,0.36396556557627485
nicp_p2tri,148500,0.02578521594,0.004770932175,0.236468253,0.5790393423,0.18502587630452863,0.40838028736977794,0.1449708665,0.43312058012138654
