frame,pair_label,n_pairs,latent_distance,raw_chamfer,arcface_dist,clip_dist,dinov2_dist,varifold_dist,currents_dist,lpips_dist,latent_distance__n,raw_chamfer__n,arcface_dist__n,clip_dist__n,dinov2_dist__n,varifold_dist__n,currents_dist__n,lpips_dist__n
raw,OVERALL,148500,0.7505963921739034,0.23734034876489768,0.17843231924121158,0.08193190277024631,0.05888888995575422,0.15112447412607596,0.07357858057929731,0.11952523413407057,148500,148500,148500,148500,148500,148500,148500,5700
raw,crop__to__down8k,4950,0.6676370604847707,-0.09307794049594334,0.19294567910978053,0.19655767959982626,0.1977135520838202,0.27163382222619725,0.05753799017831416,0.2775988837713831,4950,4950,4950,4950,4950,4950,4950,190
raw,crop__to__noisy,4950,0.7369319270918877,-0.04767497293580568,0.1116918350671316,0.027976115940090817,-0.05906272544379512,0.12304488814420791,0.08573678252306724,0.30264054551737113,4950,4950,4950,4950,4950,4950,4950,190
raw,crop__to__original,4950,0.7598144957786097,-0.03467617725471837,0.19851480166193333,0.1613693940405935,0.201726951975097,0.22457353117201076,0.013305515120448846,0.3232172927956891,4950,4950,4950,4950,4950,4950,4950,190
raw,crop__to__remesh,4950,0.6583484014706921,-0.008461089979609713,0.2130554951367337,0.18097733971059898,0.0517956791344856,0.24739578145570115,0.03901876576693259,0.3482169647504451,4950,4950,4950,4950,4950,4950,4950,190
raw,crop__to__up60k,4950,0.6866645649385139,-0.07407727740940952,0.2031539651779,0.15801198444611583,0.14569796399469712,0.2697372842443592,0.037660385285425216,0.310184711342055,4950,4950,4950,4950,4950,4950,4950,190
raw,down8k__to__crop,4950,0.6922487690699136,0.03687428497414556,0.20135294130253284,0.2530951616170183,0.2364211448496349,0.40048268919987473,0.137302288905849,-0.3148840688107704,4950,4950,4950,4950,4950,4950,4950,190
raw,down8k__to__noisy,4950,0.7932177121453391,0.4718821367718511,0.08949133502857512,0.013761928183945437,-0.046132313239214934,0.14979930289409543,0.11008033114921155,0.26817042606516295,4950,4950,4950,4950,4950,4950,4950,190
raw,down8k__to__original,4950,0.7808794932976468,0.4068471412595911,0.30147770624875325,0.3146775103585075,0.3534749185587726,0.531068597376731,0.19675556711249503,0.410020688720055,4950,4950,4950,4950,4950,4950,4950,190
raw,down8k__to__remesh,4950,0.7952549989935644,0.4364442978236826,0.30970988989398496,0.250439884835064,0.09293008618503774,0.5057967902245692,0.1932375862060267,0.2955512690977007,4950,4950,4950,4950,4950,4950,4950,190
raw,down8k__to__up60k,4950,0.8037068380251111,0.6112785561465769,0.2975947731173932,0.31809550339225245,0.2853316678350046,0.5327232699724341,0.18973519772273778,0.4220175219899662,4950,4950,4950,4950,4950,4950,4950,190
raw,noisy__to__crop,4950,0.7474722183568285,0.08338671896720189,0.21874868424444177,0.05644658882613835,0.029854041941507252,0.04011676988589341,0.06146550798718707,-0.2638682220385169,4950,4950,4950,4950,4950,4950,4950,190
