template,mean_delta_spearman,mean_template_spearman,mean_raw_spearman,mean_template_auc,mean_raw_auc,mean_template_gap,mean_raw_gap
down8k,-0.05133388334217278,0.16251364598886836,0.21384752933104112,0.6080246913580247,0.6619135802469136,0.00096170439662975,0.001347872979628475
remesh,-0.10502493479699636,0.10882259453404478,0.21384752933104112,0.6476543209876543,0.6619135802469136,0.001096913556991875,0.001347872979628475
up60k,-0.1203465275292265,0.09350100180181463,0.21384752933104112,0.6585802469135802,0.6619135802469136,0.00093210999055165,0.001347872979628475
original,-0.15098971299368674,0.06285781633735438,0.21384752933104112,0.650679012345679,0.6619135802469136,0.001193212256314075,0.001347872979628475
