template,scenario,raw_diff_only_spearman,template_diff_only_spearman,delta_spearman,raw_same_vs_diff_auc,template_same_vs_diff_auc,raw_gap,template_gap
original,clean,0.2530027107578515,0.0539529590228958,-0.19904975173495573,0.6891358024691357,0.6693827160493827,0.0016670389294934,0.0016734689086054
original,translation,0.2090022393217034,0.0398099503469911,-0.16919228897471228,0.6918518518518518,0.6622222222222223,0.0018189202431434,0.0015154501093396
original,rotation,0.2482883745325499,0.0146668238120493,-0.2336215507205006,0.685679012345679,0.6464197530864197,0.0016726908636175,0.0012841805084867
original,mixed,0.1450967927120597,0.1430015321674813,-0.002095260544578398,0.5809876543209876,0.6246913580246913,0.0002328418822596,0.0002997494988246
remesh,clean,0.2530027107578515,0.1141916996795271,-0.13881101107832444,0.6891358024691357,0.6503703703703704,0.0016670389294934,0.001351196905792
remesh,translation,0.2090022393217034,0.0995248758674778,-0.1094773634542256,0.6918518518518518,0.6720987654320988,0.0018189202431434,0.0014444132167328
remesh,rotation,0.2482883745325499,0.0848580520554284,-0.1634303224771215,0.685679012345679,0.6975308641975309,0.0016726908636175,0.0014170530892442
remesh,mixed,0.1450967927120597,0.1367157505337458,-0.008381042178313897,0.5809876543209876,0.5706172839506173,0.0002328418822596,0.0001749910161985
up60k,clean,0.2530027107578515,0.1320014143084442,-0.12100129644940733,0.6891358024691357,0.6928395061728395,0.0016670389294934,0.0011363554972275
up60k,translation,0.2090022393217034,0.0722864887879575,-0.1367157505337459,0.6918518518518518,0.6953086419753086,0.0018189202431434,0.001203048504087
up60k,rotation,0.2482883745325499,0.1288585234915765,-0.1194298510409734,0.685679012345679,0.6876543209876543,0.0016726908636175,0.0011463335676429
up60k,mixed,0.1450967927120597,0.0408575806192803,-0.10423921209277939,0.5809876543209876,0.5585185185185185,0.0002328418822596,0.0002427023932492
down8k,clean,0.2530027107578515,0.2021926425518233,-0.050810068206028236,0.6891358024691357,0.6158024691358025,0.0016670389294934,0.001284824158453
down8k,translation,0.2090022393217034,0.1623826922048322,-0.04661954711687119,0.6918518518518518,0.6264197530864197,0.0018189202431434,0.0011234614209065
down8k,rotation,0.2482883745325499,0.17914477656146,-0.0691435979710899,0.685679012345679,0.6182716049382716,0.0016726908636175,0.0011842033689996
down8k,mixed,0.1450967927120597,0.1063344726373579,-0.03876232007470179,0.5809876543209876,0.571604938271605,0.0002328418822596,0.0002543286381599
