F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,1.591083866202242,1.358110810771697,3.20267114483598,99
1,5,1.5885014210432866,1.2929605320645698,3.1297236752502475,99
1,10,1.6211021672466406,1.237730414957689,3.107607647172802,99
1,15,1.6175415277670875,1.212028890250458,3.099007348901655,99
3,5,2.0764960181563468,0.7308537684397807,2.9636460740959896,99
3,10,2.1539880475442708,0.634534895561046,2.942482706733213,99
3,15,2.137820077881594,0.6154104333330765,2.934509024508367,99
5,10,2.2230221811199775,0.49722836956162336,2.942961283294623,99
5,15,2.235127733408334,0.44366395179481294,2.934155602777248,99
10,15,2.4025478469743518,0.2552732264208247,2.875847203464053,99
