F,wbse,within_mean,within_std,within_cv,between_mean,n_subjects,type,compare,F1,F2
1.0,0.8707179556585359,2.962733776119248,1.1626612829968657,2.548234657373755,4.1297007676056685,99,inter,F,,
3.0,1.4404217966078687,1.6925790386281665,0.7431526521861591,2.2775657647847254,3.3685109020916046,99,inter,F,,
5.0,1.5706485363732114,1.3980025853747462,0.5596862878725938,2.4978324744896834,3.197385390087581,99,inter,F,,
10.0,1.833384016137613,0.9657291598864924,0.4346606997014307,2.221800039777817,3.0019208148683005,99,inter,F,,
15.0,1.918209716475033,0.7918345048707444,0.35429746617390306,2.2349426131150514,2.9463879513247004,99,inter,F,,
,1.591083866202242,1.358110810771697,,,3.20267114483598,99,intra,F1_vs_F2,1.0,3.0
,1.5885014210432866,1.2929605320645698,,,3.1297236752502475,99,intra,F1_vs_F2,1.0,5.0
,1.6211021672466406,1.237730414957689,,,3.107607647172802,99,intra,F1_vs_F2,1.0,10.0
,1.6175415277670875,1.212028890250458,,,3.099007348901655,99,intra,F1_vs_F2,1.0,15.0
,2.0764960181563468,0.7308537684397807,,,2.9636460740959896,99,intra,F1_vs_F2,3.0,5.0
,2.1539880475442708,0.634534895561046,,,2.942482706733213,99,intra,F1_vs_F2,3.0,10.0
,2.137820077881594,0.6154104333330765,,,2.934509024508367,99,intra,F1_vs_F2,3.0,15.0
,2.2230221811199775,0.49722836956162336,,,2.942961283294623,99,intra,F1_vs_F2,5.0,10.0
,2.235127733408334,0.44366395179481294,,,2.934155602777248,99,intra,F1_vs_F2,5.0,15.0
,2.4025478469743518,0.2552732264208247,,,2.875847203464053,99,intra,F1_vs_F2,10.0,15.0
