scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.537433,0.403222,0.134211,0.551494,0.406753,0.144741,1,35,70,1190,1190,595
translation,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,1.000000e-01,0.000000,0.007000,0.485680,0.416691,0.068990,0.502555,0.424193,0.078363,1,35,70,1190,1190,595
