epoch,loss,stress,rank,id,smooth,teacher,lr,spearman_clean,pearson_clean,auc_r,gate_mean_clean,gate_mean_noisy_max,spearman_noisy_max,ratio_noisy_max,intra_clean,n_eval
1,0.055562,0.023656,0.063334,0.000958,0.000000,0.000000,1.00e-05,nan,nan,nan,nan,nan,nan,nan,nan,0
2,0.041010,0.018300,0.045040,0.000760,0.000000,0.000000,1.00e-05,0.782638,0.808703,0.996794,nan,nan,0.768917,0.982468,2.420899e-04,16
3,0.035518,0.017240,0.036230,0.000654,0.000000,0.000000,1.00e-05,0.782638,0.808703,0.996794,nan,nan,0.768917,0.982468,2.420899e-04,16
4,0.029236,0.014468,0.029239,0.000593,0.000000,0.000000,1.00e-05,0.770241,0.790134,0.990897,nan,nan,0.756444,0.982087,1.649922e-04,16
5,0.029977,0.015165,0.029344,0.000559,0.000000,0.000000,1.00e-05,0.770241,0.790134,0.990897,nan,nan,0.756444,0.982087,1.649922e-04,16
6,0.027436,0.014212,0.026182,0.000530,0.000000,0.000000,1.00e-05,0.777151,0.793815,0.991482,nan,nan,0.761743,0.980173,1.369384e-04,16
7,0.025848,0.013845,0.023751,0.000509,0.000000,0.000000,1.00e-05,0.777151,0.793815,0.991482,nan,nan,0.761743,0.980173,1.369384e-04,16
8,0.025042,0.013265,0.023309,0.000488,0.000000,0.000000,1.00e-05,0.765421,0.781747,0.993172,nan,nan,0.741832,0.969181,1.184174e-04,16
9,0.024430,0.012882,0.022861,0.000472,0.000000,0.000000,1.00e-05,0.765421,0.781747,0.993172,nan,nan,0.741832,0.969181,1.184174e-04,16
10,0.024273,0.012979,0.022363,0.000453,0.000000,0.000000,1.00e-05,0.771324,0.783110,0.992942,nan,nan,0.752337,0.975383,1.121043e-04,16
11,0.022486,0.012510,0.019728,0.000446,0.000000,0.000000,1.00e-05,0.771324,0.783110,0.992942,nan,nan,0.752337,0.975383,1.121043e-04,16
12,0.022517,0.012376,0.020067,0.000431,0.000000,0.000000,1.00e-05,0.759115,0.777163,0.999550,nan,nan,0.759604,1.000643,9.955506e-05,16
13,0.022541,0.011525,0.021823,0.000416,0.000000,0.000000,1.00e-05,0.759115,0.777163,0.999550,nan,nan,0.759604,1.000643,9.955506e-05,16
14,0.022050,0.012203,0.019492,0.000405,0.000000,0.000000,1.00e-05,0.772484,0.785374,0.995539,nan,nan,0.762516,0.987096,9.339781e-05,16
15,0.021793,0.011839,0.019705,0.000404,0.000000,0.000000,1.00e-05,0.772484,0.785374,0.995539,nan,nan,0.762516,0.987096,9.339781e-05,16
16,0.021604,0.011778,0.019453,0.000398,0.000000,0.000000,1.00e-05,0.767282,0.779051,0.994314,nan,nan,0.755356,0.984456,8.615217e-05,16
17,0.021757,0.011213,0.020895,0.000385,0.000000,0.000000,1.00e-05,0.767282,0.779051,0.994314,nan,nan,0.755356,0.984456,8.615217e-05,16
18,0.020021,0.011038,0.017777,0.000376,0.000000,0.000000,1.00e-05,0.761539,0.775782,0.995313,nan,nan,0.743357,0.976125,8.211923e-05,16
19,0.020577,0.012008,0.016955,0.000368,0.000000,0.000000,1.00e-05,0.761539,0.775782,0.995313,nan,nan,0.743357,0.976125,8.211923e-05,16
20,0.019903,0.011165,0.017295,0.000362,0.000000,0.000000,1.00e-05,0.758900,0.771755,0.993950,nan,nan,0.743084,0.979159,7.946552e-05,16
21,0.020258,0.011026,0.018291,0.000351,0.000000,0.000000,1.00e-05,0.758900,0.771755,0.993950,nan,nan,0.743084,0.979159,7.946552e-05,16
22,0.018614,0.010300,0.016455,0.000346,0.000000,0.000000,1.00e-05,0.749080,0.768017,0.997957,nan,nan,0.732081,0.977307,7.609739e-05,16
23,0.019570,0.010846,0.017278,0.000341,0.000000,0.000000,1.00e-05,0.749080,0.768017,0.997957,nan,nan,0.732081,0.977307,7.609739e-05,16
24,0.018902,0.010863,0.015910,0.000335,0.000000,0.000000,1.00e-05,0.733225,0.751880,0.992884,nan,nan,0.716909,0.977748,7.193665e-05,16
