epoch,sigma,is_clean,spearman,pearson,ratio,gate_mean,intra_mean,n_eval
2,0.0,1,0.782638,0.808703,1.0,nan,2.420899e-04,16
2,1.00000000e-03,0,0.783858,0.809789,1.001559,nan,2.430305e-04,16
2,3.68403150e-03,0,0.782513,0.807045,0.999840,nan,2.434733e-04,16
2,1.35720881e-02,0,0.781485,0.807054,0.998527,nan,2.456106e-04,16
2,5.00000000e-02,0,0.768917,0.795436,0.982468,nan,2.611954e-04,16
4,0.0,1,0.770241,0.790134,1.0,nan,1.649922e-04,16
4,1.00000000e-03,0,0.768250,0.789777,0.997415,nan,1.658958e-04,16
4,3.68403150e-03,0,0.769343,0.789684,0.998834,nan,1.651826e-04,16
4,1.35720881e-02,0,0.757999,0.782827,0.984107,nan,1.680184e-04,16
4,5.00000000e-02,0,0.756444,0.778384,0.982087,nan,1.852304e-04,16
6,0.0,1,0.777151,0.793815,1.0,nan,1.369384e-04,16
6,1.00000000e-03,0,0.775637,0.793461,0.998052,nan,1.378013e-04,16
6,3.68403150e-03,0,0.775033,0.793390,0.997274,nan,1.376663e-04,16
6,1.35720881e-02,0,0.767870,0.788358,0.988058,nan,1.398253e-04,16
6,5.00000000e-02,0,0.761743,0.782845,0.980173,nan,1.540075e-04,16
8,0.0,1,0.765421,0.781747,1.0,nan,1.184174e-04,16
8,1.00000000e-03,0,0.763875,0.782249,0.997980,nan,1.191833e-04,16
8,3.68403150e-03,0,0.764977,0.782655,0.999419,nan,1.197214e-04,16
8,1.35720881e-02,0,0.762754,0.779959,0.996516,nan,1.205437e-04,16
8,5.00000000e-02,0,0.741832,0.765097,0.969181,nan,1.373232e-04,16
10,0.0,1,0.771324,0.783110,1.0,nan,1.121043e-04,16
10,1.00000000e-03,0,0.768276,0.782509,0.996047,nan,1.129487e-04,16
10,3.68403150e-03,0,0.771276,0.782576,0.999937,nan,1.133380e-04,16
10,1.35720881e-02,0,0.766060,0.781002,0.993175,nan,1.135830e-04,16
10,5.00000000e-02,0,0.752337,0.770007,0.975383,nan,1.319575e-04,16
12,0.0,1,0.759115,0.777163,1.0,nan,9.955506e-05,16
12,1.00000000e-03,0,0.758835,0.776932,0.999631,nan,9.981944e-05,16
12,3.68403150e-03,0,0.759965,0.776524,1.001119,nan,1.007326e-04,16
12,1.35720881e-02,0,0.757136,0.775697,0.997393,nan,1.028734e-04,16
12,5.00000000e-02,0,0.759604,0.776044,1.000643,nan,1.155587e-04,16
14,0.0,1,0.772484,0.785374,1.0,nan,9.339781e-05,16
14,1.00000000e-03,0,0.770303,0.784446,0.997177,nan,9.430632e-05,16
14,3.68403150e-03,0,0.771980,0.786200,0.999347,nan,9.455428e-05,16
14,1.35720881e-02,0,0.768725,0.783305,0.995133,nan,9.594529e-05,16
14,5.00000000e-02,0,0.762516,0.775054,0.987096,nan,1.122431e-04,16
16,0.0,1,0.767282,0.779051,1.0,nan,8.615217e-05,16
16,1.00000000e-03,0,0.765530,0.777752,0.997716,nan,8.688486e-05,16
16,3.68403150e-03,0,0.766641,0.779240,0.999164,nan,8.717345e-05,16
16,1.35720881e-02,0,0.761676,0.778425,0.992693,nan,8.866103e-05,16
16,5.00000000e-02,0,0.755356,0.774675,0.984456,nan,1.027037e-04,16
18,0.0,1,0.761539,0.775782,1.0,nan,8.211923e-05,16
18,1.00000000e-03,0,0.761189,0.774585,0.999541,nan,8.291729e-05,16
18,3.68403150e-03,0,0.763062,0.776617,1.002000,nan,8.256883e-05,16
18,1.35720881e-02,0,0.758574,0.774846,0.996106,nan,8.394298e-05,16
18,5.00000000e-02,0,0.743357,0.763816,0.976125,nan,1.004661e-04,16
20,0.0,1,0.758900,0.771755,1.0,nan,7.946552e-05,16
20,1.00000000e-03,0,0.758094,0.771432,0.998938,nan,7.968355e-05,16
20,3.68403150e-03,0,0.757650,0.770725,0.998353,nan,8.047489e-05,16
20,1.35720881e-02,0,0.754687,0.768431,0.994448,nan,8.213546e-05,16
20,5.00000000e-02,0,0.743084,0.761208,0.979159,nan,9.694401e-05,16
22,0.0,1,0.749080,0.768017,1.0,nan,7.609739e-05,16
22,1.00000000e-03,0,0.749628,0.768587,1.000732,nan,7.680509e-05,16
22,3.68403150e-03,0,0.749661,0.768645,1.000776,nan,7.703123e-05,16
22,1.35720881e-02,0,0.752133,0.768196,1.004076,nan,7.857646e-05,16
22,5.00000000e-02,0,0.732081,0.754071,0.977307,nan,9.337437e-05,16
24,0.0,1,0.733225,0.751880,1.0,nan,7.193665e-05,16
24,1.00000000e-03,0,0.732002,0.751633,0.998333,nan,7.277349e-05,16
24,3.68403150e-03,0,0.730104,0.751124,0.995744,nan,7.259273e-05,16
24,1.35720881e-02,0,0.729460,0.750777,0.994866,nan,7.412363e-05,16
24,5.00000000e-02,0,0.716909,0.741575,0.977748,nan,8.972668e-05,16
26,0.0,1,0.727203,0.744855,1.0,nan,6.884352e-05,16
26,1.00000000e-03,0,0.725333,0.746577,0.997428,nan,6.961733e-05,16
26,3.68403150e-03,0,0.723983,0.744187,0.995572,nan,6.954436e-05,16
26,1.35720881e-02,0,0.722497,0.744727,0.993528,nan,7.148105e-05,16
26,5.00000000e-02,0,0.709188,0.733259,0.975227,nan,8.584386e-05,16
28,0.0,1,0.725057,0.751408,1.0,nan,6.615164e-05,16
28,1.00000000e-03,0,0.724180,0.749030,0.998790,nan,6.682305e-05,16
28,3.68403150e-03,0,0.726631,0.750801,1.002171,nan,6.677905e-05,16
28,1.35720881e-02,0,0.724300,0.747574,0.998956,nan,6.825210e-05,16
