n_pairs,spearman_latent_distance,pearson_latent_distance,spearman_raw_chamfer,pearson_raw_chamfer,spearman_rigid_p2p,pearson_rigid_p2p,spearman_nicp_p2p,pearson_nicp_p2p,spearman_nicp_p2tri,pearson_nicp_p2tri,spearman_nicp_direct_p2p,pearson_nicp_direct_p2p,spearman_nicp_direct_p2tri,pearson_nicp_direct_p2tri,spearman_nicp_bbox_p2p,pearson_nicp_bbox_p2p,spearman_nicp_bbox_p2tri,pearson_nicp_bbox_p2tri,topology_a,topology_b,pair_label
190,0.7291868414491728,0.740273858312813,nan,nan,nan,nan,nan,nan,nan,nan,-0.10992489950880692,-0.101498387931723,-0.10944726563354285,-0.10160294024605522,-0.09558013707917264,-0.06384926391022634,-0.0921194784518014,-0.05827856362300861,all,all,overall
190,0.7291868414491728,0.740273858312813,nan,nan,nan,nan,nan,nan,nan,nan,-0.10992489950880692,-0.101498387931723,-0.10944726563354285,-0.10160294024605522,-0.09558013707917264,-0.06384926391022634,-0.0921194784518014,-0.05827856362300861,crop,down8k,crop__to__down8k
