n_pairs,spearman_latent_distance,pearson_latent_distance,spearman_raw_chamfer,pearson_raw_chamfer,spearman_rigid_p2p,pearson_rigid_p2p,spearman_nicp_p2p,pearson_nicp_p2p,spearman_nicp_p2tri,pearson_nicp_p2tri,spearman_nicp_direct_p2p,pearson_nicp_direct_p2p,spearman_nicp_direct_p2tri,pearson_nicp_direct_p2tri,spearman_nicp_bbox_p2p,pearson_nicp_bbox_p2p,spearman_nicp_bbox_p2tri,pearson_nicp_bbox_p2tri,topology_a,topology_b,pair_label
380,0.787362078952946,0.7978821326397624,0.05195439125283396,0.02866460285626254,0.14387783722793643,0.1257546270662182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,all,all,overall
190,0.7291868414491728,0.740273858312813,-0.10961522479847088,-0.11197403059096604,-0.025056533130382676,0.006384413855661375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,crop,down8k,crop__to__down8k
190,0.8567343314656625,0.8637581355048447,0.3038372545674833,0.31619480665654454,0.45659961421879314,0.4829029737108233,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,original,down8k,original__to__down8k
