scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.577300,0.639175,-0.061875,0.588041,0.633116,-0.045075,0,110,110,5995,5995,5995
translation,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,5.000000e-02,0.000000,0.004500,0.444769,0.633143,-0.188375,0.466322,0.627198,-0.160876,0,110,110,5995,5995,5995
