scenario,topology_a,topology_b,ordered_pair_label,ordered_topology_pairs,mesh_pair_level,latent_spearman,registered_chamfer_spearman,delta_spearman,latent_pearson,registered_chamfer_pearson,delta_pearson,model_beats_registered_chamfer,n_subjects,n_subject_pairs,n_mesh_pairs,n_observations,rigid_icp_seconds_mean,rigid_icp_seconds_median,nonrigid_cpd_seconds_mean,nonrigid_cpd_seconds_median,warp_seconds_mean,warp_seconds_median,registration_seconds_mean,registration_seconds_median,chamfer_seconds_mean,chamfer_seconds_median,total_pair_seconds_mean,total_pair_seconds_median,output_dir,output_json,output_csv,output_md
clean,crop,down8k,crop__to__down8k,1,1,0.676695,-0.090207,0.766902,0.702187,-0.009035,0.711222,1,100,4950,4950,4950,0.000635,0.000617,0.000000,0.000000,0.000050,0.000043,0.000635,0.000617,0.000560,0.000443,0.001244,0.001207,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__down8k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__down8k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__down8k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__down8k/ranking_summary.md
clean,crop,noisy,crop__to__noisy,1,1,0.734280,-0.061575,0.795856,0.761727,0.014598,0.747129,1,100,4950,4950,4950,0.000819,0.000810,0.000000,0.000000,0.000039,0.000037,0.000819,0.000810,0.007004,0.007089,0.007861,0.007936,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__noisy,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__noisy/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__noisy/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__noisy/ranking_summary.md
clean,crop,original,crop__to__original,1,1,0.759643,-0.046927,0.806570,0.785913,0.058955,0.726957,1,100,4950,4950,4950,0.000807,0.000799,0.000000,0.000000,0.000039,0.000037,0.000807,0.000799,0.007004,0.007089,0.007849,0.007924,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__original,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__original/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__original/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__original/ranking_summary.md
clean,crop,remesh,crop__to__remesh,1,1,0.664726,0.001967,0.662760,0.685895,0.020594,0.665302,1,100,4950,4950,4950,0.000777,0.000774,0.000000,0.000000,0.000042,0.000038,0.000777,0.000774,0.003722,0.004237,0.004541,0.005034,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__remesh,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__remesh/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__remesh/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__remesh/ranking_summary.md
clean,crop,up60k,crop__to__up60k,1,1,0.694730,-0.062507,0.757237,0.719626,-0.008357,0.727983,1,100,4950,4950,4950,0.000512,0.000504,0.000000,0.000000,0.000058,0.000052,0.000512,0.000504,0.026867,0.031662,0.027437,0.032370,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__up60k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__up60k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__up60k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/crop__to__up60k/ranking_summary.md
clean,down8k,crop,down8k__to__crop,1,1,0.647715,-0.018894,0.666609,0.695198,0.041949,0.653249,1,100,4950,4950,4950,0.000588,0.000576,0.000000,0.000000,0.000052,0.000045,0.000588,0.000576,0.000579,0.000452,0.001218,0.001168,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__crop,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__crop/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__crop/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__crop/ranking_summary.md
clean,down8k,noisy,down8k__to__noisy,1,1,0.784325,0.552383,0.231942,0.810266,0.268162,0.542104,1,100,4950,4950,4950,0.000907,0.000906,0.000000,0.000000,0.000040,0.000039,0.000907,0.000906,0.000444,0.000439,0.001391,0.001390,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__noisy,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__noisy/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__noisy/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__noisy/ranking_summary.md
clean,down8k,original,down8k__to__original,1,1,0.773245,0.485701,0.287543,0.801978,0.507906,0.294072,1,100,4950,4950,4950,0.000900,0.000899,0.000000,0.000000,0.000040,0.000039,0.000900,0.000899,0.000444,0.000439,0.001384,0.001382,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__original,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__original/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__original/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__original/ranking_summary.md
clean,down8k,remesh,down8k__to__remesh,1,1,0.796094,0.344321,0.451773,0.815293,0.464363,0.350930,1,100,4950,4950,4950,0.000814,0.000803,0.000000,0.000000,0.000041,0.000039,0.000814,0.000803,0.000358,0.000349,0.001212,0.001199,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__remesh,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__remesh/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__remesh/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__remesh/ranking_summary.md
clean,down8k,up60k,down8k__to__up60k,1,1,0.807198,0.600151,0.207047,0.826370,0.650342,0.176028,1,100,4950,4950,4950,0.000757,0.000750,0.000000,0.000000,0.000044,0.000040,0.000757,0.000750,0.011649,0.012422,0.012450,0.013234,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__up60k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__up60k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__up60k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean/down8k__to__up60k/ranking_summary.md
