method,pearson_r,spearman_r,n_points,pearson_valid
3DDFAV2_23470_neutral,0.7868317066555341,0.028571428571428574,6,False
3DDFAV3_neutral,0.957619094521567,0.7142857142857143,6,False
Deep3DFace_23470_neutral,0.900225523274294,0.48571428571428577,6,False
SynergyNet_neutral,0.9430214031690265,0.8285714285714287,6,False
INORig_23470_neutral,0.9857920149600792,1.0,3,False
3DI_neutral,,,1,False
