F,wbse,within_mean,within_std,within_cv,between_mean,n_subjects,type,compare,F1,F2
1.0,1.0888027745082556,2.02071049091511,0.7383832853380718,2.736668788473346,3.0959074375026705,99,inter,F,,
3.0,1.4631127078624986,1.1909952188754338,0.4327620755539205,2.752078534957115,2.508748872819197,99,inter,F,,
5.0,1.6492183202591069,0.9637943731498674,0.35228583677864117,2.7358306026803674,2.4272888954433416,99,inter,F,,
10.0,1.928087641643178,0.6372338524731599,0.2254201381785714,2.82687189184651,2.298296063315929,99,inter,F,,
15.0,2.0070493771450555,0.5193288001529004,0.17933858689328816,2.8958006703929065,2.276270108321866,99,inter,F,,
,1.6602229985060017,0.968487189795091,,,2.4431847004818703,99,intra,F1_vs_F2,1.0,3.0
,1.6862883949550833,0.9277243883613734,,,2.44810775428066,99,intra,F1_vs_F2,1.0,5.0
,1.7374240653825106,0.8807286835864634,,,2.4200019581487417,99,intra,F1_vs_F2,1.0,10.0
,1.7457555179080382,0.8624197984381264,,,2.4218728842317203,99,intra,F1_vs_F2,1.0,15.0
,2.028550307380744,0.5338906502835301,,,2.301450491997277,99,intra,F1_vs_F2,3.0,5.0
,2.114700293031948,0.46125085834877033,,,2.2712069553412655,99,intra,F1_vs_F2,3.0,10.0
,2.139873026334768,0.4236548756935325,,,2.273381872424764,99,intra,F1_vs_F2,3.0,15.0
,2.225256080734343,0.3330057322332442,,,2.248768066260369,99,intra,F1_vs_F2,5.0,10.0
,2.2288949772068096,0.31275045164929516,,,2.251075815048512,99,intra,F1_vs_F2,5.0,15.0
,2.361420494981488,0.1864851490691173,,,2.2323297237234887,99,intra,F1_vs_F2,10.0,15.0
