F,wbse,within_mean,between_mean,n_subjects
1,0.17180231592020878,7972.631491586107,8695.490967579031,99
3,0.5540961272618792,4330.568872932875,5992.414747141176,99
5,0.7900886230698831,3174.022863650213,5296.8259042896325,99
10,0.9307351095728673,2471.611793699386,4828.296308353789,99
15,1.0491818236976789,2000.8734667314043,4492.39930454386,99
