F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,1.6602229985060017,0.968487189795091,2.4431847004818703,99
1,5,1.6862883949550833,0.9277243883613734,2.44810775428066,99
1,10,1.7374240653825106,0.8807286835864634,2.4200019581487417,99
1,15,1.7457555179080382,0.8624197984381264,2.4218728842317203,99
3,5,2.028550307380744,0.5338906502835301,2.301450491997277,99
3,10,2.114700293031948,0.46125085834877033,2.2712069553412655,99
3,15,2.139873026334768,0.4236548756935325,2.273381872424764,99
5,10,2.225256080734343,0.3330057322332442,2.248768066260369,99
5,15,2.2288949772068096,0.31275045164929516,2.251075815048512,99
10,15,2.361420494981488,0.1864851490691173,2.2323297237234887,99
