scenario,sigma,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,clean_latent_spearman,clean_chamfer_spearman,latent_drop_vs_clean,chamfer_drop_vs_clean,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs,output_dir,output_json,output_csv,output_md
translation,0.150000,0.000000,0.000000,0.150000,0.000000,0.009500,0.522855,0.534993,-0.012138,0.553546,0.569484,-0.015939,0,0.590712,0.514582,0.067857,-0.020410,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p15,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p15/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p15/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p15/ranking_summary.md
translation,0.200000,0.000000,0.000000,0.200000,0.000000,0.012000,0.483477,0.536598,-0.053121,0.512980,0.566289,-0.053309,0,0.590712,0.514582,0.107235,-0.022016,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p20,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p20/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p20/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p20/ranking_summary.md
rotation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.590712,0.514582,0.076130,0.616718,0.549931,0.066787,1,0.590712,0.514582,0.000000,0.000000,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p00,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p00/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p00/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p00/ranking_summary.md
rotation,0.020000,0.000000,0.020000,0.000000,1.400000,0.000000,0.575597,0.529576,0.046021,0.608975,0.569761,0.039214,1,0.590712,0.514582,0.015115,-0.014994,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p02,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p02/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p02/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p02/ranking_summary.md
rotation,0.050000,0.000000,0.050000,0.000000,2.000000,0.000000,0.569067,0.524036,0.045031,0.603462,0.564367,0.039094,1,0.590712,0.514582,0.021645,-0.009454,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p05,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p05/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p05/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p05/ranking_summary.md
rotation,0.100000,0.000000,0.100000,0.000000,3.000000,0.000000,0.553102,0.524510,0.028592,0.590420,0.567240,0.023180,1,0.590712,0.514582,0.037610,-0.009928,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p10,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p10/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p10/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p10/ranking_summary.md
rotation,0.150000,0.000000,0.150000,0.000000,4.000000,0.000000,0.533700,0.530706,0.002994,0.571806,0.572820,-0.001014,1,0.590712,0.514582,0.057012,-0.016124,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p15,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p15/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p15/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p15/ranking_summary.md
rotation,0.200000,0.000000,0.200000,0.000000,5.000000,0.000000,0.509877,0.532205,-0.022328,0.545784,0.575089,-0.029305,0,0.590712,0.514582,0.080835,-0.017622,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p20,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p20/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p20/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p20/ranking_summary.md
mixed,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.590712,0.514582,0.076130,0.616718,0.549931,0.066787,1,0.590712,0.514582,0.000000,0.000000,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p00,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p00/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p00/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p00/ranking_summary.md
mixed,0.020000,0.020000,0.020000,0.020000,1.400000,0.003000,0.580812,0.578568,0.002243,0.604837,0.610466,-0.005629,1,0.590712,0.514582,0.009901,-0.063986,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p02,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p02/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p02/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p02/ranking_summary.md
