subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0421,remesh,crop,0.292851,0.303573,0.008673,1,
id0001,id0422,remesh,crop,0.320140,0.450322,0.012156,1,
id0001,id0431,remesh,crop,0.344573,0.467303,0.013169,1,
id0001,id0437,remesh,crop,0.401537,0.597218,0.018444,1,
id0001,id0441,remesh,crop,0.291814,0.386443,0.010984,1,
id0001,id0447,remesh,crop,0.306172,0.480261,0.023084,1,
id0001,id0460,remesh,crop,0.293119,0.325939,0.009857,1,
id0001,id0462,remesh,crop,0.310316,0.427681,0.020036,1,
id0001,id0465,remesh,crop,0.345278,0.354870,0.004510,1,
id0001,id0466,remesh,crop,0.330986,0.457612,0.022044,1,
id0001,id0468,remesh,crop,0.465759,0.560062,0.005660,1,
id0001,id0470,remesh,crop,0.426994,0.483743,0.008542,1,
id0001,id0476,remesh,crop,0.308868,0.435664,0.020124,1,
id0001,id0486,remesh,crop,0.323589,0.451754,0.007045,1,
id0001,id0491,remesh,crop,0.320884,0.444877,0.017617,1,
id0001,id0498,remesh,crop,0.339398,0.406855,0.006501,1,
id0004,id0018,remesh,crop,0.299500,0.374694,0.004603,1,
id0004,id0020,remesh,crop,0.366351,0.459742,0.005779,1,
id0004,id0026,remesh,crop,0.416234,0.433204,0.004321,1,
id0004,id0027,remesh,crop,0.248048,0.364016,0.005716,1,
id0004,id0041,remesh,crop,0.345277,0.468708,0.006168,1,
id0004,id0042,remesh,crop,0.487255,0.604083,0.004419,1,
id0004,id0045,remesh,crop,0.324312,0.402321,0.004042,1,
id0004,id0048,remesh,crop,0.238472,0.294182,0.005412,1,
id0004,id0056,remesh,crop,0.478388,0.511790,0.004760,1,
id0004,id0062,remesh,crop,0.511633,0.609964,0.004801,1,
id0004,id0069,remesh,crop,0.343675,0.457672,0.005306,1,
id0004,id0071,remesh,crop,0.480545,0.627086,0.005290,1,
id0004,id0072,remesh,crop,0.344321,0.420254,0.007189,1,
id0004,id0075,remesh,crop,0.372617,0.438924,0.003673,1,
id0004,id0080,remesh,crop,0.425929,0.540941,0.003861,1,
id0004,id0081,remesh,crop,0.350165,0.428098,0.008002,1,
id0004,id0086,remesh,crop,0.333849,0.494352,0.007587,1,
id0004,id0088,remesh,crop,0.324047,0.426064,0.009291,1,
id0004,id0097,remesh,crop,0.372316,0.445506,0.005561,1,
id0004,id0100,remesh,crop,0.327457,0.481606,0.005340,1,
id0004,id0106,remesh,crop,0.425352,0.488007,0.006884,1,
id0004,id0107,remesh,crop,0.404081,0.436674,0.007725,1,
id0004,id0110,remesh,crop,0.288532,0.332037,0.004137,1,
id0004,id0113,remesh,crop,0.402826,0.514249,0.009092,1,
id0004,id0115,remesh,crop,0.299737,0.333128,0.004826,1,
id0004,id0130,remesh,crop,0.373116,0.459348,0.004169,1,
id0004,id0132,remesh,crop,0.372023,0.419173,0.006997,1,
id0004,id0136,remesh,crop,0.391691,0.509232,0.008668,1,
id0004,id0153,remesh,crop,0.307025,0.375521,0.011526,1,
id0004,id0161,remesh,crop,0.277533,0.340877,0.008522,1,
id0004,id0169,remesh,crop,0.369937,0.464348,0.007558,1,
