epoch,sigma,is_clean,spearman,pearson,ratio,gate_mean,intra_mean,n_eval
2,0.0,1,0.664553,0.682465,1.0,nan,3.212877e-06,16
2,1.00000000e-03,0,0.663287,0.682035,0.998095,nan,3.215856e-06,16
2,2.51188643e-03,0,0.665227,0.684503,1.001014,nan,3.209802e-06,16
2,6.30957344e-03,0,0.666106,0.681983,1.002337,nan,3.207787e-06,16
2,1.58489319e-02,0,0.666711,0.683648,1.003247,nan,3.181848e-06,16
2,3.98107171e-02,0,0.670864,0.687280,1.009496,nan,3.173471e-06,16
2,1.00000000e-01,0,0.639572,0.649362,0.962409,nan,3.555904e-06,16
4,0.0,1,0.690388,0.702826,1.0,nan,3.488517e-06,16
4,1.00000000e-03,0,0.691675,0.702787,1.001864,nan,3.490071e-06,16
4,2.51188643e-03,0,0.692921,0.703735,1.003668,nan,3.490957e-06,16
4,6.30957344e-03,0,0.693701,0.703466,1.004798,nan,3.475724e-06,16
4,1.58489319e-02,0,0.690370,0.701941,0.999973,nan,3.471832e-06,16
4,3.98107171e-02,0,0.686879,0.698106,0.994917,nan,3.554020e-06,16
4,1.00000000e-01,0,0.647883,0.651310,0.938433,nan,4.276756e-06,16
6,0.0,1,0.714425,0.736432,1.0,nan,7.693897e-06,16
6,1.00000000e-03,0,0.714399,0.736305,0.999964,nan,7.717677e-06,16
6,2.51188643e-03,0,0.715909,0.736598,1.002077,nan,7.683591e-06,16
6,6.30957344e-03,0,0.716177,0.737936,1.002453,nan,7.702211e-06,16
6,1.58489319e-02,0,0.714846,0.735656,1.000590,nan,7.716791e-06,16
6,3.98107171e-02,0,0.707558,0.729141,0.990389,nan,7.877734e-06,16
6,1.00000000e-01,0,0.718261,0.730269,1.005369,nan,8.892625e-06,16
8,0.0,1,0.697819,0.719050,1.0,nan,1.585177e-05,16
8,1.00000000e-03,0,0.700192,0.721388,1.003400,nan,1.581021e-05,16
8,2.51188643e-03,0,0.700815,0.721194,1.004293,nan,1.587975e-05,16
8,6.30957344e-03,0,0.699819,0.719824,1.002866,nan,1.579160e-05,16
8,1.58489319e-02,0,0.699382,0.718287,1.002239,nan,1.586341e-05,16
8,3.98107171e-02,0,0.700736,0.719669,1.004180,nan,1.614348e-05,16
8,1.00000000e-01,0,0.692259,0.707221,0.992032,nan,1.782856e-05,16
10,0.0,1,0.699278,0.724434,1.0,nan,3.183356e-05,16
10,1.00000000e-03,0,0.700201,0.724278,1.001321,nan,3.196291e-05,16
10,2.51188643e-03,0,0.698692,0.723543,0.999162,nan,3.185841e-05,16
10,6.30957344e-03,0,0.697271,0.723429,0.997130,nan,3.166685e-05,16
10,1.58489319e-02,0,0.699523,0.724727,1.000351,nan,3.189542e-05,16
10,3.98107171e-02,0,0.702181,0.721303,1.004151,nan,3.246397e-05,16
10,1.00000000e-01,0,0.676804,0.700681,0.967861,nan,3.446564e-05,16
12,0.0,1,0.696910,0.711224,1.0,nan,5.502639e-05,16
12,1.00000000e-03,0,0.697037,0.711549,1.000183,nan,5.514506e-05,16
12,2.51188643e-03,0,0.690275,0.706235,0.990480,nan,5.529558e-05,16
12,6.30957344e-03,0,0.694002,0.709615,0.995828,nan,5.521118e-05,16
12,1.58489319e-02,0,0.697423,0.711925,1.000737,nan,5.516128e-05,16
12,3.98107171e-02,0,0.692599,0.708382,0.993815,nan,5.515634e-05,16
12,1.00000000e-01,0,0.676936,0.699880,0.971340,nan,5.972270e-05,16
14,0.0,1,0.693729,0.721915,1.0,nan,6.072820e-05,16
14,1.00000000e-03,0,0.692687,0.722549,0.998498,nan,6.066880e-05,16
14,2.51188643e-03,0,0.690527,0.719034,0.995385,nan,6.074033e-05,16
14,6.30957344e-03,0,0.692449,0.720480,0.998155,nan,6.065353e-05,16
14,1.58489319e-02,0,0.687038,0.720391,0.990356,nan,6.091180e-05,16
14,3.98107171e-02,0,0.689712,0.719565,0.994210,nan,6.214243e-05,16
14,1.00000000e-01,0,0.677767,0.711380,0.976991,nan,6.688552e-05,16
16,0.0,1,0.710452,0.732597,1.0,nan,9.285777e-05,16
