epoch,loss,stress,rank,id,smooth,teacher,lr,spearman_clean,pearson_clean,auc_r,gate_mean_clean,gate_mean_noisy_max,spearman_noisy_max,ratio_noisy_max,intra_clean,n_eval
1,0.036129,0.013628,0.044996,0.000013,0.000000,0.000000,1.00e-04,nan,nan,nan,nan,nan,nan,nan,nan,0
2,0.033166,0.011247,0.043830,0.000014,0.000000,0.000000,1.00e-04,0.664553,0.682465,0.999269,nan,nan,0.639572,0.962409,3.212877e-06,16
3,0.030771,0.010056,0.041421,0.000017,0.000000,0.000000,1.00e-04,0.664553,0.682465,0.999269,nan,nan,0.639572,0.962409,3.212877e-06,16
4,0.027649,0.008069,0.039151,0.000019,0.000000,0.000000,1.00e-04,0.690388,0.702826,0.994701,nan,nan,0.647883,0.938433,3.488517e-06,16
5,0.027223,0.008747,0.036941,0.000024,0.000000,0.000000,1.00e-04,0.690388,0.702826,0.994701,nan,nan,0.647883,0.938433,3.488517e-06,16
6,0.025650,0.009247,0.032791,0.000030,0.000000,0.000000,1.00e-04,0.714425,0.736432,0.999635,nan,nan,0.718261,1.005369,7.693897e-06,16
7,0.023631,0.008845,0.029551,0.000041,0.000000,0.000000,1.00e-04,0.714425,0.736432,0.999635,nan,nan,0.718261,1.005369,7.693897e-06,16
8,0.021503,0.007938,0.027103,0.000054,0.000000,0.000000,1.00e-04,0.697819,0.719050,1.002259,nan,nan,0.692259,0.992032,1.585177e-05,16
9,0.020604,0.008382,0.024409,0.000071,0.000000,0.000000,1.00e-04,0.697819,0.719050,1.002259,nan,nan,0.692259,0.992032,1.585177e-05,16
10,0.019330,0.007893,0.022827,0.000094,0.000000,0.000000,1.00e-04,0.699278,0.724434,0.997077,nan,nan,0.676804,0.967861,3.183356e-05,16
11,0.017392,0.007469,0.019787,0.000116,0.000000,0.000000,1.00e-04,0.699278,0.724434,0.997077,nan,nan,0.676804,0.967861,3.183356e-05,16
12,0.016129,0.006713,0.018760,0.000143,0.000000,0.000000,1.00e-04,0.696910,0.711224,0.993324,nan,nan,0.676936,0.971340,5.502639e-05,16
13,0.017015,0.007814,0.018314,0.000175,0.000000,0.000000,1.00e-04,0.696910,0.711224,0.993324,nan,nan,0.676936,0.971340,5.502639e-05,16
