scenario,noise_mode,sigma,group_type,group,metric,n,mean,std,cv,min,p05,p25,p50,p75,p95,max,iqr,range,std_vs_raw,iqr_vs_raw,range_vs_raw,median_vs_raw
jitter_sigma0.0398,jitter,0.0398,overall,all,raw_chamfer,1350,0.03698392113,0.007200933637,0.1947044396,0.02928823712,0.03062676111,0.03220590893,0.03431410945,0.03867343904,0.05362981354,0.07097779057,0.006467530105,0.04168955345,1,1,1,1
jitter_sigma0.0398,jitter,0.0398,overall,all,rigid_p2p,1350,0.03278853527,0.003574891347,0.1090286991,0.02787505496,0.02910520017,0.03034481127,0.03174402215,0.03437316992,0.03945865688,0.05542719442,0.004028358654,0.02755213946,0.4964483117,0.6228588949,0.6608883325,0.9251011509
jitter_sigma0.0398,jitter,0.0398,overall,all,nicp_p2p,1350,0.03100321342,0.001871170677,0.0603540882,0.02759001825,0.02856154668,0.02965430052,0.03058199986,0.03204624369,0.03481006936,0.03942949595,0.002391943174,0.0118394777,0.2598511209,0.3698387383,0.2839914732,0.8912368803
jitter_sigma0.0398,jitter,0.0398,overall,all,nicp_p2tri,1350,0.02680536033,0.002048123964,0.07640725356,0.02283005213,0.02422708022,0.02532041286,0.02631331279,0.02793926445,0.03110067882,0.03590371262,0.002618851597,0.01307366049,0.2844247797,0.4049229852,0.3135955991,0.7668365349
jitter_sigma0.1000,jitter,0.1000,overall,all,latent_distance,1350,0.4828856283,0.09565915782,0.1980989953,0.2625233233,0.340346311,0.409690395,0.4745696187,0.5473523289,0.6533878595,0.8047999144,0.1376619339,0.5422765911,36.27701271,58.50180649,33.69611708,11.13321751
jitter_sigma0.1000,jitter,0.1000,overall,all,raw_chamfer,1350,0.04347667154,0.002636908352,0.06065110918,0.04004074551,0.0409431834,0.04178746407,0.04262645711,0.04414058686,0.04956360144,0.05613389327,0.002353122787,0.01609314776,1,1,1,1
jitter_sigma0.1000,jitter,0.1000,overall,all,rigid_p2p,1350,0.04241048046,0.003353306484,0.07906787303,0.03621388691,0.03799153232,0.04009679531,0.04195770651,0.04407656832,0.04859433203,0.06235524846,0.00397977301,0.02614136155,1.271681089,1.69127299,1.624378396,0.9843113726
jitter_sigma0.1000,jitter,0.1000,overall,all,nicp_p2p,1350,0.04073300041,0.002300719158,0.05648292871,0.03574784653,0.03724903658,0.03910389178,0.04046674309,0.04216638251,0.04485529927,0.04882200728,0.003062490724,0.01307416076,0.8725063032,1.301458105,0.8124054383,0.9493339544
jitter_sigma0.1000,jitter,0.1000,overall,all,nicp_p2tri,1350,0.03369675957,0.002191350688,0.06503149609,0.02918133651,0.03067425604,0.03209686329,0.03335301137,0.03504933194,0.03779535916,0.0425657898,0.002952468654,0.0133844533,0.8310302806,1.254702335,0.8316864729,0.7824485924
rotation_sigma0.0010,rotation,0.0010,overall,all,latent_distance,1350,0.44529482,0.1034486094,0.2323148726,0.1939166784,0.2770632833,0.3702904582,0.4435750544,0.5174795538,0.6201317847,0.7127114534,0.1471890956,0.518794775,6.295386011,8.113308141,5.782901684,11.43535082
