scenario,noise_mode,sigma,group_type,group,metric,n,mean,std,cv,min,p05,p25,p50,p75,p95,max,iqr,range,std_vs_raw,iqr_vs_raw,range_vs_raw,median_vs_raw
clean,none,0.0,overall,all,latent_distance,1350,0.4440101624,0.1038484143,0.2338874718,0.1939938217,0.2748047352,0.3691529855,0.4424621016,0.5156537294,0.6202318698,0.7108680606,0.1465007439,0.5168742388,6.32252278,7.968127192,5.70293273,11.38651989
clean,none,0.0,overall,all,raw_chamfer,1350,0.04366272569,0.01642515463,0.3761825304,0.021434738,0.02631345749,0.03181330136,0.0388584138,0.05019914541,0.07914462762,0.112067797,0.01838584405,0.09063305905,1,1,1,1
clean,none,0.0,overall,all,rigid_p2p,1350,0.03150518233,0.009138772409,0.2900720369,0.01900665005,0.02179558828,0.02497916139,0.02878040258,0.03600648823,0.05022490473,0.080998872,0.01102732684,0.06199222194,0.5563888202,0.5997726734,0.6839912786,0.7406479001
clean,none,0.0,overall,all,nicp_p2p,1350,0.02382011999,0.002925114521,0.1228001589,0.01815680681,0.01980315977,0.02184976881,0.02319136767,0.02540155554,0.02940905801,0.03574504602,0.003551786738,0.01758823921,0.1780874875,0.1931805104,0.1940598651,0.5968171473
clean,none,0.0,overall,all,nicp_p2tri,1350,0.02182663926,0.003110868329,0.1425262173,0.01577456977,0.01748881907,0.0197563493,0.02116963454,0.02352764523,0.02770355522,0.0341595363,0.003771295922,0.01838496653,0.1893965931,0.2051195426,0.2028505572,0.5447889523
clean,none,0.0,topology_pair,crop__to__down8k,latent_distance,45,0.4613704224,0.0899587876,0.1949816963,0.2787344158,0.3507608056,0.3908834755,0.4402625263,0.5419336557,0.5946504593,0.6827988029,0.1510501802,0.4040643871,5.795451601,6.222761418,6.886783706,6.536274101
clean,none,0.0,topology_pair,crop__to__down8k,raw_chamfer,45,0.06518143654,0.01552230849,0.2381400183,0.03563445165,0.03942782763,0.0523251554,0.0673568029,0.07659897374,0.08549238573,0.09430688922,0.02427381833,0.05867243757,1,1,1,1
clean,none,0.0,topology_pair,crop__to__down8k,rigid_p2p,45,0.04705526194,0.01234821346,0.2624193969,0.02686319868,0.02771182731,0.0405027762,0.04497320701,0.05802205562,0.06437299271,0.080998872,0.01751927942,0.05413567332,0.7955139834,0.7217356238,0.9226763973,0.6676861887
clean,none,0.0,topology_pair,crop__to__down8k,nicp_p2p,45,0.02515410122,0.002465137412,0.09800141098,0.01908638601,0.02148046116,0.02347152994,0.02482046935,0.02671182438,0.0294341145,0.03066548417,0.00324029444,0.01157909816,0.1588125512,0.1334892762,0.1973515784,0.368492391
clean,none,0.0,topology_pair,crop__to__down8k,nicp_p2tri,45,0.02331276627,0.002580860256,0.1107058779,0.01715753781,0.01933198443,0.02182220684,0.02304924662,0.02508024963,0.02783574715,0.02896821878,0.003258042794,0.01181068097,0.1662678111,0.1342204489,0.2012986244,0.3421962687
clean,none,0.0,topology_pair,crop__to__noisy,latent_distance,45,0.460992578,0.09336431447,0.2025288886,0.2713053823,0.3310549974,0.3853271604,0.4527671635,0.5251978636,0.616657424,0.6608833671,0.1398707032,0.3895779848,7.585505225,7.639042634,8.467013782,8.678399888
clean,none,0.0,topology_pair,crop__to__noisy,raw_chamfer,45,0.05194246737,0.01230825261,0.2369593366,0.03119122284,0.03220725551,0.04228390705,0.05217173319,0.06059388514,0.07067516648,0.07720248429,0.01830997808,0.04601126145,1,1,1,1
clean,none,0.0,topology_pair,crop__to__noisy,rigid_p2p,45,0.03884392427,0.01089125027,0.2803849115,0.02337428362,0.02495293387,0.03095606542,0.03650573064,0.04474256575,0.05717697886,0.06927458104,0.01378650034,0.04590029741,0.8848738011,0.7529501276,0.9975883288,0.6997224053
clean,none,0.0,topology_pair,crop__to__noisy,nicp_p2p,45,0.0244013999,0.002138612042,0.08764300618,0.01894693011,0.02158668736,0.0229972535,0.02405653177,0.02557771283,0.02770379666,0.02982885292,0.002580459332,0.01088192282,0.1737543184,0.1409318635,0.2365056396,0.4611027907
clean,none,0.0,topology_pair,crop__to__noisy,nicp_p2tri,45,0.02227617186,0.002236915341,0.1004174036,0.01686197842,0.01921351089,0.02076790143,0.02195571214,0.02357519694,0.02562462024,0.02794260627,0.002807295517,0.01108062786,0.1817410978,0.1533205285,0.2408242571,0.4208353988
clean,none,0.0,topology_pair,crop__to__original,latent_distance,45,0.4621106287,0.09461389809,0.2047429603,0.2849236429,0.324351722,0.3991324902,0.4483105242,0.5166251659,0.6097825766,0.6602566242,0.1174926758,0.3753329813,7.978677331,5.975097228,8.319253339,8.755732699
clean,none,0.0,topology_pair,crop__to__original,raw_chamfer,45,0.05119483357,0.0118583437,0.2316316487,0.03096577641,0.03273415666,0.04091655957,0.05120194273,0.06058028575,0.07055184126,0.07608196245,0.01966372618,0.04511618604,1,1,1,1
clean,none,0.0,topology_pair,crop__to__original,rigid_p2p,45,0.04085797194,0.01124716051,0.2752745664,0.02564975241,0.02591114354,0.03214869842,0.03783041089,0.04679326664,0.06100376822,0.07283968749,0.01464456822,0.04718993508,0.9484596491,0.7447504145,1.045964635,0.7388471779
clean,none,0.0,topology_pair,crop__to__original,nicp_p2p,45,0.02463484242,0.002532112841,0.1027858347,0.01901491947,0.02119256516,0.02277994968,0.02455474845,0.02583913275,0.02801632832,0.03087657204,0.003059183067,0.01186165257,0.2135300599,0.1555749424,0.26291346,0.4795667339
clean,none,0.0,topology_pair,crop__to__original,nicp_p2tri,45,0.0226936765,0.002645944065,0.1165938919,0.01708631025,0.01898754535,0.02070204531,0.022602349,0.02412349648,0.02645195815,0.02903793091,0.003421451168,0.01195162066,0.2231293114,0.1739981088,0.2649076021,0.441435379
clean,none,0.0,topology_pair,crop__to__remesh,latent_distance,45,0.484644509,0.08568331168,0.1767962085,0.3134374022,0.3633420408,0.4189724326,0.4847306907,0.5432928801,0.6076772094,0.7108680606,0.1243204474,0.3974306583,5.422390333,5.125762461,6.488718958,8.561066669
clean,none,0.0,topology_pair,crop__to__remesh,raw_chamfer,45,0.05784573809,0.01580176019,0.27317069,0.02918664336,0.03275193535,0.0466344262,0.05662036163,0.07088846614,0.08238473561,0.09043612279,0.02425403994,0.06124947943,1,1,1,1
clean,none,0.0,topology_pair,crop__to__remesh,rigid_p2p,45,0.03883629011,0.01220731178,0.3143274434,0.0229133951,0.0254869957,0.0299134708,0.03634529688,0.04477943655,0.06182774838,0.07656657606,0.01486596575,0.05365318096,0.7725286068,0.6129274044,0.8759777464,0.641912129
clean,none,0.0,topology_pair,crop__to__remesh,nicp_p2p,45,0.02443850041,0.002588280278,0.1059099468,0.01873360505,0.02073677496,0.02278590627,0.02422105583,0.02615941917,0.02813238926,0.03089405762,0.003373512896,0.01216045257,0.1637969598,0.139090762,0.1985396885,0.4277799565
clean,none,0.0,topology_pair,crop__to__remesh,nicp_p2tri,45,0.02252584339,0.002727865339,0.1210993654,0.01673371493,0.01844363235,0.02084000117,0.02243903605,0.02446573667,0.02645519012,0.02929494593,0.003625735507,0.012561231,0.1726304732,0.1494899619,0.2050830655,0.3963068304
clean,none,0.0,topology_pair,crop__to__up60k,latent_distance,45,0.4737403697,0.08944383156,0.1888034824,0.2998006046,0.3609725237,0.4001227021,0.4583393931,0.5488774776,0.6140323877,0.7023862004,0.1487547755,0.4025855958,6.009730264,6.589674106,7.104582357,7.427474511
