method,F,mean_wbes,mean_error
3DDFAV2_23470_neutral,5,0.9838931493883302,0.003081404453429604
3DDFAV3_neutral,5,1.7271938344161695,0.002611414216813706
Deep3DFace_23470_neutral,5,1.831724656810788,0.0025480013986984656
SynergyNet_neutral,5,0.4966124622880818,0.003228589660056439
INORig_23470_neutral,5,1.6063277043728141,0.0030477680999667633
