scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,rigid_registered_chamfer,nicp_correspondence,cpd_registered_chamfer
rotation,0,same_subject,id0478,crop,id0478_GTready_crop,id0478,down8k,id0478_GTready_down8k,0.0,0.2843310534954071,0.012886825948953629,0.009291905909776688,0.11291397337332604,nan
rotation,1,same_subject,id0478,crop,id0478_GTready_crop,id0478,noisy,id0478_GTready_noisy,0.0,0.2667318880558014,0.004792726133018732,0.003037701826542616,0.08975125909371381,nan
rotation,2,same_subject,id0478,crop,id0478_GTready_crop,id0478,original,id0478_GTready_original,0.0,0.23362122476100922,0.005402843467891216,0.0038482050877064466,0.11142912298222407,nan
rotation,3,same_subject,id0478,crop,id0478_GTready_crop,id0478,remesh,id0478_GTready_remesh,0.0,0.2800779938697815,0.00654237624257803,0.0028020041063427925,0.10166893888293471,nan
rotation,4,same_subject,id0478,crop,id0478_GTready_crop,id0478,up60k,id0478_GTready_up60k,0.0,0.28791549801826477,0.009471054188907146,0.006216243375092745,0.10779023514252889,nan
rotation,5,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,noisy,id0478_GTready_noisy,0.0,0.19010013341903687,0.0017560005653649569,0.0007064164965413511,0.08073390259966748,nan
rotation,6,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,original,id0478_GTready_original,0.0,0.14591734111309052,0.0021764878183603287,0.0023449189029634,0.08986141174063238,nan
rotation,7,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,remesh,id0478_GTready_remesh,0.0,0.13198192417621613,0.0022441798355430365,0.002850402146577835,0.09091024117744716,nan
rotation,8,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,up60k,id0478_GTready_up60k,0.0,0.07161533832550049,0.0005382770905271173,0.0004091740702278912,0.08060132246410848,nan
rotation,9,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,original,id0478_GTready_original,0.0,0.11984755843877792,0.00016167139983735979,0.00017335370648652315,0.08220232605222452,nan
rotation,10,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,remesh,id0478_GTready_remesh,0.0,0.17949198186397552,0.0006790374172851443,0.0003115393628831953,0.08369241174924189,nan
rotation,11,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,up60k,id0478_GTready_up60k,0.0,0.18604928255081177,0.0007327100029215217,0.0003181555075570941,0.0774910958857342,nan
rotation,12,same_subject,id0478,original,id0478_GTready_original,id0478,remesh,id0478_GTready_remesh,0.0,0.146107479929924,0.0007451346609741449,0.00034668477019295096,0.08651339329955812,nan
rotation,13,same_subject,id0478,original,id0478_GTready_original,id0478,up60k,id0478_GTready_up60k,0.0,0.14169920980930328,0.0009087151847779751,0.0007723503513261676,0.08970556089133168,nan
rotation,14,same_subject,id0478,remesh,id0478_GTready_remesh,id0478,up60k,id0478_GTready_up60k,0.0,0.08616156876087189,0.0007506089168600738,0.0007007184321992099,0.08774816770932525,nan
rotation,15,same_subject,id0485,crop,id0485_GTready_crop,id0485,down8k,id0485_GTready_down8k,0.0,0.23533548414707184,0.011790132150053978,0.01058756560087204,0.12510081604297546,nan
rotation,16,same_subject,id0485,crop,id0485_GTready_crop,id0485,noisy,id0485_GTready_noisy,0.0,0.27028727531433105,0.006238760892301798,0.009412316605448723,0.1216862907952573,nan
rotation,17,same_subject,id0485,crop,id0485_GTready_crop,id0485,original,id0485_GTready_original,0.0,0.234213188290596,0.006467458792030811,0.004822663962841034,0.10057448203725616,nan
rotation,18,same_subject,id0485,crop,id0485_GTready_crop,id0485,remesh,id0485_GTready_remesh,0.0,0.27056464552879333,0.006916118785738945,0.005311951506882906,0.10598796731437635,nan
rotation,19,same_subject,id0485,crop,id0485_GTready_crop,id0485,up60k,id0485_GTready_up60k,0.0,0.25601789355278015,0.009455682709813118,0.008316004648804665,0.104563409459225,nan
rotation,20,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,noisy,id0485_GTready_noisy,0.0,0.15219247341156006,0.0009748589945957065,0.0005272276466712356,0.08502288899182919,nan
rotation,21,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,original,id0485_GTready_original,0.0,0.11319662630558014,0.0012951423414051533,0.00044251244980841875,0.0756886203738104,nan
rotation,22,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,remesh,id0485_GTready_remesh,0.0,0.14372989535331726,0.0017899437807500362,0.0016335840336978436,0.08003042422128152,nan
rotation,23,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,up60k,id0485_GTready_up60k,0.0,0.07870330661535263,0.00045087694888934493,0.0004914070595987141,0.07745114352269988,nan
rotation,24,same_subject,id0485,noisy,id0485_GTready_noisy,id0485,original,id0485_GTready_original,0.0,0.08721721172332764,0.0001622856652829796,0.00036075260140933096,0.07924326847909022,nan
