F,pearson_r,spearman_r,n_methods
1,-0.9931178298726222,-1.0,4
3,-0.9842710308753734,-1.0,4
5,-0.7942030848088466,-0.8999999999999998,5
10,-0.7863025045902106,-0.8285714285714287,6
15,-0.7427246836561826,-0.8999999999999998,5
