F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,0.6406667944283374,3552.4642773699015,5258.527085327589,99
1,5,0.7153578821828045,3299.1527068741907,5145.985923738098,99
1,10,0.7613262936102476,3100.1349803483217,5063.991472434485,99
1,15,0.7893446483205373,2996.579642983446,4991.330737972071,99
3,5,1.1016571559818091,1942.7830115915629,4661.995085082388,99
3,10,1.1154039243464686,1803.3480906245138,4562.703008180435,99
3,15,1.1492226441048103,1672.1031578634434,4473.84895828934,99
5,10,1.2859374619005495,1412.8811943298085,4497.187611736199,99
5,15,1.3281566272288625,1282.834961541681,4408.832577878072,99
10,15,1.5856440361096775,625.1824516201133,4276.5776939074685,99
