F,wbse,within_mean,between_mean,n_subjects,type,compare,F1,F2
1.0,0.17180231592020878,7972.631491586107,8695.490967579031,99,inter,F,,
3.0,0.5540961272618792,4330.568872932875,5992.414747141176,99,inter,F,,
5.0,0.7900886230698831,3174.022863650213,5296.8259042896325,99,inter,F,,
10.0,0.9307351095728673,2471.611793699386,4828.296308353789,99,inter,F,,
15.0,1.0491818236976789,2000.8734667314043,4492.39930454386,99,inter,F,,
,0.6406667944283374,3552.4642773699015,5258.527085327589,99,intra,F1_vs_F2,1.0,3.0
,0.7153578821828045,3299.1527068741907,5145.985923738098,99,intra,F1_vs_F2,1.0,5.0
,0.7613262936102476,3100.1349803483217,5063.991472434485,99,intra,F1_vs_F2,1.0,10.0
,0.7893446483205373,2996.579642983446,4991.330737972071,99,intra,F1_vs_F2,1.0,15.0
,1.1016571559818091,1942.7830115915629,4661.995085082388,99,intra,F1_vs_F2,3.0,5.0
,1.1154039243464686,1803.3480906245138,4562.703008180435,99,intra,F1_vs_F2,3.0,10.0
,1.1492226441048103,1672.1031578634434,4473.84895828934,99,intra,F1_vs_F2,3.0,15.0
,1.2859374619005495,1412.8811943298085,4497.187611736199,99,intra,F1_vs_F2,5.0,10.0
,1.3281566272288625,1282.834961541681,4408.832577878072,99,intra,F1_vs_F2,5.0,15.0
,1.5856440361096775,625.1824516201133,4276.5776939074685,99,intra,F1_vs_F2,10.0,15.0
