method,F,mean_wbes,mean_error
3DDFAV2_23470_neutral,1,-0.14931087192385462,0.00309322539782217
3DDFAV3_neutral,1,0.2825766986106904,0.0027244543535166763
Deep3DFace_23470_neutral,1,0.7135051867808858,0.0026141089283333446
SynergyNet_neutral,1,-0.8552439227206817,0.003275002169802678
