F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,1.5028475559717773,0.06873005041457135,0.13308912061046416,99
1,5,1.5273825303815423,0.0661882229765403,0.13066786727492272,99
1,10,1.6069364152481662,0.061710291043760135,0.1295037515361099,99
1,15,1.6061918386818859,0.06085873222923888,0.12874499391138267,99
3,5,1.897949872828429,0.03663960837606852,0.11659229400762076,99
3,10,1.9930206336331937,0.03106126356267339,0.1152318626662875,99
3,15,1.9940964604127602,0.029805711404368756,0.11443456830557962,99
5,10,2.0441469987940666,0.02770781903336353,0.11327960157028295,99
5,15,2.0932907070838054,0.02432409384779772,0.11241951046693265,99
10,15,2.2665613850990236,0.013550488456707898,0.11040501502782087,99
