scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,template_icp_chamfer
translation,23,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,up60k,id0485_GTready_up60k,0.0,0.09868133068084717,0.000522050482686609,0.008225146681070328
translation,24,same_subject,id0485,noisy,id0485_GTready_noisy,id0485,original,id0485_GTready_original,0.0,0.08224928379058838,0.0001603925775270909,0.0010819947347044945
translation,25,same_subject,id0485,noisy,id0485_GTready_noisy,id0485,remesh,id0485_GTready_remesh,0.0,0.2140335589647293,0.0009536684374324977,0.0007248020265251398
translation,26,same_subject,id0485,noisy,id0485_GTready_noisy,id0485,up60k,id0485_GTready_up60k,0.0,0.1806541383266449,0.0007119975634850562,0.0005922005511820316
translation,27,same_subject,id0485,original,id0485_GTready_original,id0485,remesh,id0485_GTready_remesh,0.0,0.19828595221042633,0.0011042591650038958,0.0007208971073850989
translation,28,same_subject,id0485,original,id0485_GTready_original,id0485,up60k,id0485_GTready_up60k,0.0,0.15707115828990936,0.0010378442239016294,0.0010124226100742817
translation,29,same_subject,id0485,remesh,id0485_GTready_remesh,id0485,up60k,id0485_GTready_up60k,0.0,0.10608804225921631,0.0006858463166281581,0.0010456505697220564
translation,30,same_subject,id0489,crop,id0489_GTready_crop,id0489,down8k,id0489_GTready_down8k,0.0,0.2375747114419937,0.014856848865747452,0.011880256235599518
translation,31,same_subject,id0489,crop,id0489_GTready_crop,id0489,noisy,id0489_GTready_noisy,0.0,0.3400082290172577,0.008248033933341503,0.007095479406416416
translation,32,same_subject,id0489,crop,id0489_GTready_crop,id0489,original,id0489_GTready_original,0.0,0.2485494464635849,0.008360468782484531,0.006714106537401676
translation,33,same_subject,id0489,crop,id0489_GTready_crop,id0489,remesh,id0489_GTready_remesh,0.0,0.26854464411735535,0.007337993010878563,0.005911208223551512
translation,34,same_subject,id0489,crop,id0489_GTready_crop,id0489,up60k,id0489_GTready_up60k,0.0,0.24496205151081085,0.012660190463066101,0.008914309553802013
translation,35,same_subject,id0489,down8k,id0489_GTready_down8k,id0489,noisy,id0489_GTready_noisy,0.0,0.23286888003349304,0.0010357374558225274,0.0033536385744810104
translation,36,same_subject,id0489,down8k,id0489_GTready_down8k,id0489,original,id0489_GTready_original,0.0,0.14112791419029236,0.001441702013835311,0.002257759217172861
translation,37,same_subject,id0489,down8k,id0489_GTready_down8k,id0489,remesh,id0489_GTready_remesh,0.0,0.15788814425468445,0.0020949712488800287,0.002731453161686659
translation,38,same_subject,id0489,down8k,id0489_GTready_down8k,id0489,up60k,id0489_GTready_up60k,0.0,0.0638246238231659,0.0002879104285966605,0.0019985598046332598
translation,39,same_subject,id0489,noisy,id0489_GTready_noisy,id0489,original,id0489_GTready_original,0.0,0.14101377129554749,0.00020824550301767886,0.0013151075690984726
translation,40,same_subject,id0489,noisy,id0489_GTready_noisy,id0489,remesh,id0489_GTready_remesh,0.0,0.18909822404384613,0.0009880089201033115,0.0023503233678638935
translation,41,same_subject,id0489,noisy,id0489_GTready_noisy,id0489,up60k,id0489_GTready_up60k,0.0,0.24258626997470856,0.000848566647619009,0.002270582364872098
translation,42,same_subject,id0489,original,id0489_GTready_original,id0489,remesh,id0489_GTready_remesh,0.0,0.13141249120235443,0.0005854141199961305,0.0006840435671620071
translation,43,same_subject,id0489,original,id0489_GTready_original,id0489,up60k,id0489_GTready_up60k,0.0,0.15283647179603577,0.0009238925995305181,0.0006832859944552183
translation,44,same_subject,id0489,remesh,id0489_GTready_remesh,id0489,up60k,id0489_GTready_up60k,0.0,0.13348488509655,0.0011049475288018584,0.0012973910197615623
translation,45,different_subject,id0478,crop,id0478_GTready_crop,id0485,down8k,id0485_GTready_down8k,0.34237438440322876,0.4771696925163269,0.01696030981838703,0.017800915986299515
translation,46,different_subject,id0478,crop,id0478_GTready_crop,id0485,noisy,id0485_GTready_noisy,0.34237438440322876,0.47011542320251465,0.009877831675112247,0.009066103026270866
translation,47,different_subject,id0478,crop,id0478_GTready_crop,id0485,original,id0485_GTready_original,0.34237438440322876,0.4846098721027374,0.010466746985912323,0.00773094454780221
translation,48,different_subject,id0478,crop,id0478_GTready_crop,id0485,remesh,id0485_GTready_remesh,0.34237438440322876,0.5152759552001953,0.011718690395355225,0.006355102173984051
translation,49,different_subject,id0478,crop,id0478_GTready_crop,id0485,up60k,id0485_GTready_up60k,0.34237438440322876,0.48976409435272217,0.01401195302605629,0.008487111888825893
translation,50,different_subject,id0478,crop,id0478_GTready_crop,id0489,down8k,id0489_GTready_down8k,0.4157305955886841,0.5956281423568726,0.02474195510149002,0.01948695443570614
translation,51,different_subject,id0478,crop,id0478_GTready_crop,id0489,noisy,id0489_GTready_noisy,0.4157305955886841,0.5910348892211914,0.015661252662539482,0.013231469318270683
