scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.522661,0.570883,-0.048221,0.531925,0.543788,-0.011863,0,10,20,45,90,45
mixed,gt_vertex_mean_l2,1.500000e-01,1.500000e-01,1.500000e-01,2.300000,0.005500,0.438735,0.425823,0.012912,0.420234,0.418540,0.001693,1,10,20,45,90,45
