metric,count,mean_abs_rank_error,median_abs_rank_error,spearman_vs_gt,pearson_vs_gt
latent_distance,300,45.223333333333336,35.5,0.7613966066436104,0.7703091544909055
rigid_registered_chamfer,300,74.67333333333333,65.5,0.38529793753616604,-0.02383809924998302
raw_chamfer,300,76.48666666666666,60.25,0.3680143018684024,0.3660026125882009
nicp_correspondence,300,79.63,66.25,0.32035716592708885,0.08814751444953857
