metric,gt_quantile,count,gt_mean,metric_mean,metric_median,metric_q10,metric_q90
latent_distance,"(0.206, 0.296]",61,0.25865245134126946,0.4064258107396423,0.4139961004257202,0.3119713366031647,0.4983452260494232
latent_distance,"(0.296, 0.328]",61,0.3194421896191894,0.4198663908927167,0.4146768450736999,0.3492261469364166,0.496329128742218
latent_distance,"(0.328, 0.398]",59,0.3634909280275894,0.5115793231180159,0.5182029604911804,0.39350220561027527,0.615508508682251
latent_distance,"(0.398, 0.494]",61,0.450387888267392,0.584426825652357,0.5916164517402649,0.4074538052082062,0.7315407991409302
latent_distance,"(0.494, 0.759]",58,0.6144349020102928,0.6481001819002217,0.664737194776535,0.4941878974437713,0.7743021309375764
raw_chamfer,"(0.206, 0.296]",61,0.25865245134126946,0.005030946613319895,0.0029466096311807,0.0012664773967117,0.0115231685340404
raw_chamfer,"(0.296, 0.328]",61,0.3194421896191894,0.005747684468438834,0.0037340682465583,0.001773667987436,0.0134103316813707
raw_chamfer,"(0.328, 0.398]",59,0.3634909280275894,0.006079671549279251,0.0042570531368255,0.00205682353116564,0.013192645087838161
raw_chamfer,"(0.398, 0.494]",61,0.450387888267392,0.007290704101400373,0.0052369190379977,0.0025446491781622,0.017138235270977
raw_chamfer,"(0.494, 0.759]",58,0.6144349020102928,0.009948119990816616,0.0078478830400854,0.00379056963138279,0.020098648034036097
rigid_registered_chamfer,"(0.206, 0.296]",61,0.25865245134126946,0.02004102699851735,0.0024389862082898,0.0009940966265276,0.0118274157866835
rigid_registered_chamfer,"(0.296, 0.328]",61,0.3194421896191894,0.004926938338388375,0.0032554601784795,0.0014463901752606,0.0119573995471
rigid_registered_chamfer,"(0.328, 0.398]",59,0.3634909280275894,0.005547510221268999,0.0038444623351097,0.00185102389659728,0.009971973299980164
rigid_registered_chamfer,"(0.398, 0.494]",61,0.450387888267392,0.007368399437180985,0.0043989666737616,0.0021576872095465,0.0121270641684532
rigid_registered_chamfer,"(0.494, 0.759]",58,0.6144349020102928,0.009808883050874085,0.0082799401134252,0.00342824412509792,0.018319180980324673
nicp_correspondence,"(0.206, 0.296]",61,0.25865245134126946,0.10679489345223413,0.0921116763516489,0.0822934443096212,0.1185771002938242
nicp_correspondence,"(0.296, 0.328]",61,0.3194421896191894,0.09791689594063595,0.0948798891278701,0.0834653219612598,0.1179693294150519
nicp_correspondence,"(0.328, 0.398]",59,0.3634909280275894,0.10061198439729853,0.0959996262975768,0.08685364795726867,0.116149921651377
nicp_correspondence,"(0.398, 0.494]",61,0.450387888267392,0.10370119532241466,0.0988527087033965,0.0876524463581115,0.1242355070896319
nicp_correspondence,"(0.494, 0.759]",58,0.6144349020102928,0.11122294571564896,0.11004728598680995,0.09447942862660469,0.12959828276396745
