scenario,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,raw_chamfer,rigid_registered_chamfer,nicp_correspondence,metric,metric_value,gt_rank,raw_abs_rank_error,metric_abs_rank_error,extra_abs_rank_error_vs_raw
clean,id0068,up60k,id0068_GTready_up60k,id0267,crop,id0267_GTready_crop,0.3197224736213684,0.0065183965489268,0.0101884882897138,0.1081645105726295,rigid_registered_chamfer,0.0101884882897138,93.0,98.0,151.0,53.0
clean,id0059,remesh,id0059_GTready_remesh,id0267,noisy,id0267_GTready_noisy,0.2608508169651031,0.0020510810427367,0.0026008791755884,0.0964530130321247,rigid_registered_chamfer,0.0026008791755884,32.5,6.5,58.5,52.0
clean,id0051,down8k,id0051_GTready_down8k,id0456,up60k,id0456_GTready_up60k,0.3238519430160522,0.003626013174653,0.0113644320517778,0.1161667089894551,nicp_correspondence,0.1161667089894551,104.0,5.0,149.0,144.0
clean,id0084,original,id0084_GTready_original,id0478,noisy,id0478_GTready_noisy,0.4944345653057098,0.0059272972866892,0.0024329444859176,0.0870953526353923,nicp_correspondence,0.0870953526353923,239.0,62.0,188.0,126.0
clean,id0084,original,id0084_GTready_original,id0478,down8k,id0478_GTready_down8k,0.4944345653057098,0.0045155528932809,0.0022570320870727,0.0824603473417552,nicp_correspondence,0.0824603473417552,239.0,101.0,225.0,124.0
clean,id0187,up60k,id0187_GTready_up60k,id0267,original,id0267_GTready_original,0.4295506179332733,0.00508454721421,0.0040333215147256,0.0871466507031295,nicp_correspondence,0.0871466507031295,198.5,44.5,145.5,101.0
clean,id0051,up60k,id0051_GTready_up60k,id0456,original,id0456_GTready_original,0.3238519430160522,0.0035895011387765,0.0054642846807837,0.1084566528138037,nicp_correspondence,0.1084566528138037,104.0,3.0,104.0,101.0
clean,id0068,remesh,id0068_GTready_remesh,id0187,original,id0187_GTready_original,0.5366069674491882,0.0079986453056335,0.0082300556823611,0.0943454001229303,nicp_correspondence,0.0943454001229303,258.0,44.0,142.0,98.0
clean,id0059,remesh,id0059_GTready_remesh,id0267,noisy,id0267_GTready_noisy,0.2608508169651031,0.0020510810427367,0.0026008791755884,0.0964530130321247,nicp_correspondence,0.0964530130321247,32.5,6.5,101.5,95.0
clean,id0187,crop,id0187_GTready_crop,id0485,remesh,id0485_GTready_remesh,0.3508435487747192,0.0058258972130715,0.0038444623351097,0.0835358409975836,nicp_correspondence,0.0835358409975836,146.0,30.0,124.0,94.0
clean,id0059,original,id0059_GTready_original,id0068,remesh,id0068_GTready_remesh,0.3154456615447998,0.002940725069493,0.0039760936051607,0.1018727821089328,nicp_correspondence,0.1018727821089328,77.0,3.0,96.0,93.0
clean,id0084,down8k,id0084_GTready_down8k,id0267,up60k,id0267_GTready_up60k,0.3982460498809814,0.0042570531368255,0.0027970524970442,0.0866677294395034,nicp_correspondence,0.0866677294395034,180.0,47.0,134.0,87.0
clean,id0084,up60k,id0084_GTready_up60k,id0485,down8k,id0485_GTready_down8k,0.3498280942440033,0.0031420993618667,0.0014589964412152,0.0763774031594088,nicp_correspondence,0.0763774031594088,140.0,51.0,137.0,86.0
clean,id0129,original,id0129_GTready_original,id0267,crop,id0267_GTready_crop,0.3854514360427856,0.0067436941899359,0.0048451987095177,0.0900404458396008,nicp_correspondence,0.0900404458396008,174.5,20.5,98.5,78.0
clean,id0084,noisy,id0084_GTready_noisy,id0158,original,id0158_GTready_original,0.4726081490516662,0.0053576445206999,0.0021141013130545,0.0908844675714308,nicp_correspondence,0.0908844675714308,224.5,62.5,139.5,77.0
clean,id0051,original,id0051_GTready_original,id0456,remesh,id0456_GTready_remesh,0.3238519430160522,0.0046849218197166,0.0075386115349829,0.1113612238891102,nicp_correspondence,0.1113612238891102,104.0,40.0,117.0,77.0
clean,id0129,original,id0129_GTready_original,id0478,remesh,id0478_GTready_remesh,0.2911230623722076,0.002750638872385,0.0018570991232991,0.0983921022395191,nicp_correspondence,0.0983921022395191,51.0,22.0,99.0,77.0
clean,id0158,original,id0158_GTready_original,id0485,up60k,id0485_GTready_up60k,0.3255888819694519,0.0040350034832954,0.0018308511935174,0.0839823671097293,nicp_correspondence,0.0839823671097293,115.0,13.0,88.0,75.0
clean,id0158,remesh,id0158_GTready_remesh,id0478,up60k,id0478_GTready_up60k,0.2333883196115493,0.0022906048689037,0.0022581389639526,0.0952459047108069,nicp_correspondence,0.0952459047108069,16.5,34.5,108.5,74.0
clean,id0456,original,id0456_GTready_original,id0485,remesh,id0485_GTready_remesh,0.5342631936073303,0.007596606388688,0.0037707996089011,0.0966581403115258,nicp_correspondence,0.0966581403115258,251.5,41.5,114.5,73.0
clean,id0051,down8k,id0051_GTready_down8k,id0456,original,id0456_GTready_original,0.3238519430160522,0.005241451319307,0.0098264645785093,0.1130507703823023,nicp_correspondence,0.1130507703823023,104.0,55.0,128.0,73.0
clean,id0068,down8k,id0068_GTready_down8k,id0158,remesh,id0158_GTready_remesh,0.2486844509840011,0.0037057274021208,0.0034964885562658,0.1033535397882846,nicp_correspondence,0.1033535397882846,23.0,91.0,161.0,70.0
clean,id0187,original,id0187_GTready_original,id0478,up60k,id0478_GTready_up60k,0.476080983877182,0.0047366805374622,0.0037392391823232,0.0907628857942269,nicp_correspondence,0.0907628857942269,227.5,80.5,144.5,64.0
clean,id0129,down8k,id0129_GTready_down8k,id0158,noisy,id0158_GTready_noisy,0.2813311517238617,0.0034000826999545,0.002593838609755,0.1011209244136608,nicp_correspondence,0.1011209244136608,43.0,57.0,121.0,64.0
clean,id0187,up60k,id0187_GTready_up60k,id0267,down8k,id0267_GTready_down8k,0.4295506179332733,0.0038443924859166,0.0045442227274179,0.0880985875228411,nicp_correspondence,0.0880985875228411,198.5,75.5,138.5,63.0
clean,id0068,original,id0068_GTready_original,id0485,up60k,id0485_GTready_up60k,0.3255244791507721,0.003809564281255,0.0022211833856999,0.0846685663444145,nicp_correspondence,0.0846685663444145,109.5,11.5,74.5,63.0
clean,id0059,crop,id0059_GTready_crop,id0068,noisy,id0068_GTready_noisy,0.3154456615447998,0.0045003304257988,0.0047078686766326,0.1063884710898337,nicp_correspondence,0.1063884710898337,77.0,60.0,121.0,61.0
