F,wbse,within_mean,between_mean,n_subjects
1,1.774635304525552,4098.657494045755,9615.521346916648,99
2,1.9778444221036908,2927.2168492004425,9156.021330529042,99
3,2.125624933096907,2370.0949750414584,8987.283259509279,99
