F,wbse,within_mean,within_std,within_cv,between_mean,n_subjects
1,0.2902678199528592,109987.45356001002,53839.382003929044,2.042881055952378,125443.57118848023,99
3,0.6305478778154837,63479.35065728041,31175.62323940142,2.0361854571379285,87822.54129425799,99
5,0.7805127281031061,48325.613084146455,21276.571740459698,2.271306377439091,75506.62949182352,99
10,0.9754701967107743,35354.40547525539,16925.075765080106,2.088877235527581,67995.45969307664,99
15,1.1875594323994987,27011.277932618712,12473.164532828878,2.1655513211203212,65024.66452728828,99
