F,wbse,within_mean,within_std,within_cv,between_mean,n_subjects,type,compare,F1,F2
1.0,0.2902678199528592,109987.45356001002,53839.382003929044,2.042881055952378,125443.57118848023,99,inter,F,,
3.0,0.6305478778154837,63479.35065728041,31175.62323940142,2.0361854571379285,87822.54129425799,99,inter,F,,
5.0,0.7805127281031061,48325.613084146455,21276.571740459698,2.271306377439091,75506.62949182352,99,inter,F,,
10.0,0.9754701967107743,35354.40547525539,16925.075765080106,2.088877235527581,67995.45969307664,99,inter,F,,
15.0,1.1875594323994987,27011.277932618712,12473.164532828878,2.1655513211203212,65024.66452728828,99,inter,F,,
,0.8627408788336315,49070.520675011096,,,78574.29547833232,99,intra,F1_vs_F2,1.0,3.0
,0.8694923355764939,46874.67193142199,,,76552.38013073387,99,intra,F1_vs_F2,1.0,5.0
,0.9398132298483921,43796.10955759084,,,75510.84463157279,99,intra,F1_vs_F2,1.0,10.0
,0.9551698268075092,43376.385159924444,,,75318.41865811402,99,intra,F1_vs_F2,1.0,15.0
,1.1935305330505437,28013.943841886543,,,67393.86883412258,99,intra,F1_vs_F2,3.0,5.0
,1.2453355189369766,25353.367009925852,,,65817.60975428068,99,intra,F1_vs_F2,3.0,10.0
,1.3207761270982348,23185.79539531601,,,65756.33367994777,99,intra,F1_vs_F2,3.0,15.0
,1.351764757618582,19341.237155746152,,,61843.47429384086,99,intra,F1_vs_F2,5.0,10.0
,1.4208961422527895,17279.699014290312,,,61666.79615926914,99,intra,F1_vs_F2,5.0,15.0
,1.6099060634200757,10113.28567969297,,,60678.5774139388,99,intra,F1_vs_F2,10.0,15.0
