method,pearson_r,spearman_r,n_points
3DDFAV2_23470_neutral,-0.6500348952667883,-0.028571428571428574,6
3DDFAV3_neutral,-0.9898341985553645,-0.5428571428571429,6
Deep3DFace_23470_neutral,-0.9848281652993377,-0.7714285714285715,6
SynergyNet_neutral,-0.9548523651677683,-0.8285714285714287,6
