F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,0.8627408788336315,49070.520675011096,78574.29547833232,99
1,5,0.8694923355764939,46874.67193142199,76552.38013073387,99
1,10,0.9398132298483921,43796.10955759084,75510.84463157279,99
1,15,0.9551698268075092,43376.385159924444,75318.41865811402,99
3,5,1.1935305330505437,28013.943841886543,67393.86883412258,99
3,10,1.2453355189369766,25353.367009925852,65817.60975428068,99
3,15,1.3207761270982348,23185.79539531601,65756.33367994777,99
5,10,1.351764757618582,19341.237155746152,61843.47429384086,99
5,15,1.4208961422527895,17279.699014290312,61666.79615926914,99
10,15,1.6099060634200757,10113.28567969297,60678.5774139388,99
