scenario,metric,same_mean,same_median,different_mean,different_median,gap_diff_minus_same,same_vs_diff_auc,different_only_spearman_vs_gt,different_only_pearson_vs_gt
clean,latent_distance,0.1659919040898482,0.14908016473054886,0.5127561709284782,0.4958103150129318,0.34676426683863004,0.9977407407407407,0.8482717699995701,0.85393842647668
clean,raw_chamfer,0.0032151349531583644,0.0010625279392115772,0.006793070090158532,0.004838539287447929,0.0035779351370001673,0.7720370370370371,0.24315470392130578,0.23796358915654006
clean,rigid_registered_chamfer,0.002916970837921124,0.0007639605610165745,0.00956245523741624,0.004308034898713231,0.006645484399495116,0.7820555555555555,0.23596074620496268,-0.04629823247960764
clean,cpd_registered_chamfer,0.0078121057207075255,0.006914998637512326,0.00820510196654747,0.007469495525583625,0.0003929962458399444,0.5409074074074074,0.09213049105308686,0.05591809424750596
translation,latent_distance,0.17123483307659626,0.1544279232621193,0.5160267428557078,0.4977070689201355,0.34479190977911156,0.9972222222222222,0.8432816091922534,0.8502078634731167
translation,raw_chamfer,0.0031933895732638323,0.0011566616012714803,0.006785342455841601,0.004987326450645924,0.003591952882577769,0.7741481481481481,0.24896281456475142,0.2449594078901339
translation,rigid_registered_chamfer,0.0027795903640152474,0.0007671829662285745,0.0080393084018336,0.00443284772336483,0.005259718037818353,0.7848888888888889,0.24431628159619945,0.06504276525801486
translation,cpd_registered_chamfer,0.008224769532939212,0.007062559248879552,0.008240070891721796,0.007481899345293641,1.5301358782584054e-05,0.5286296296296297,0.07529139333974101,0.03136333672245941
