method,F,subject,error
3DI,1,id0000,0.0021304739846119466
3DI,1,id0001,0.002021008162616853
3DI,1,id0002,0.0021338840730432086
3DI,1,id0003,0.002070902027790573
3DI,1,id0004,0.0027665036143614346
3DI,1,id0005,0.002141917294806083
3DI,1,id0006,0.00238343741246398
3DI,1,id0007,0.0024119204988565807
3DI,1,id0008,0.0023422472097199176
3DI,1,id0009,0.002415995774436287
3DI,1,id0010,0.0022124181398033888
3DI,1,id0011,0.0023733265876501003
3DI,1,id0012,0.0022162452014330824
3DI,1,id0013,0.003536247667569558
3DI,1,id0014,0.002496846405623965
3DI,1,id0015,0.002591846118606542
3DI,1,id0016,0.003001256569531669
3DI,1,id0017,0.0018959772188556095
3DI,1,id0018,0.0020391872316880763
3DI,1,id0019,0.002844700103490637
3DI,1,id0020,0.002524460493489132
3DI,1,id0021,0.0024531527055885335
3DI,1,id0022,0.0015110410787619539
3DI,1,id0023,0.0028856450187573312
3DI,1,id0024,0.002476290682700076
3DI,1,id0025,0.0026048789044024593
3DI,1,id0026,0.0017443685504753275
3DI,1,id0027,0.0030480973180979217
3DI,1,id0028,0.0023602464782995556
3DI,1,id0029,0.0025124526265369773
3DI,1,id0030,0.0031334967494763277
3DI,1,id0031,0.003157795522041126
3DI,1,id0032,0.0027767482411773054
3DI,1,id0033,0.0025233328330524817
3DI,1,id0034,0.0014090495056097066
3DI,1,id0035,0.0021577636855745026
3DI,1,id0036,0.0018717505036397676
3DI,1,id0037,0.002176584711934388
3DI,1,id0038,0.002130767945103028
3DI,1,id0039,0.002344090689230367
3DI,1,id0040,0.0023758272817052846
3DI,1,id0041,0.0026600458260428524
3DI,1,id0042,0.0019030694426506402
3DI,1,id0043,0.00258932833512831
3DI,1,id0044,0.0026180833455052284
3DI,1,id0045,0.0033569527267511626
3DI,1,id0046,0.003326323527979346
3DI,1,id0047,0.0028689532818240446
3DI,1,id0048,0.0030626826864764995
3DI,1,id0049,0.0026339041979367194
3DI,1,id0050,0.002277600212929178
3DI,1,id0051,0.0024175757104630295
3DI,1,id0052,0.0024262994328392556
3DI,1,id0053,0.002693370363109836
3DI,1,id0054,0.0021262849352014215
3DI,1,id0055,0.002464910538767185
3DI,1,id0056,0.002650622191015829
3DI,1,id0057,0.0020531662663047863
3DI,1,id0058,0.002443491460459477
3DI,1,id0059,0.002473853515856221
3DI,1,id0060,0.0020504888638988557
3DI,1,id0061,0.0028047696346602076
3DI,1,id0062,0.0026212155577599134
3DI,1,id0063,0.0022339237031788447
3DI,1,id0064,0.002194067931789411
3DI,1,id0065,0.002660736516442174
3DI,1,id0066,0.0025670676512553267
3DI,1,id0067,0.0031505160927156107
3DI,1,id0068,0.0022657629723484636
3DI,1,id0069,0.0022962005400413636
3DI,1,id0070,0.001925898751724437
3DI,1,id0071,0.0028538835940667123
3DI,1,id0072,0.002733481401139792
3DI,1,id0073,0.0027866397346656274
3DI,1,id0074,0.0020873335185654656
3DI,1,id0075,0.002546417335025748
3DI,1,id0076,0.002512648248760213
3DI,1,id0077,0.002720966897178166
3DI,1,id0078,0.002178527788812702
3DI,1,id0079,0.0027573563983557944
3DI,1,id0080,0.0020525995744120886
3DI,1,id0081,0.0022947599047118783
3DI,1,id0082,0.002524041142421725
3DI,1,id0083,0.0017171902739411798
3DI,1,id0084,0.0026596316203495113
3DI,1,id0085,0.0024732112171844006
3DI,1,id0086,0.0026490721598958116
3DI,1,id0087,0.00282026788222825
3DI,1,id0088,0.002901992998995955
3DI,1,id0089,0.0021958661066959423
3DI,1,id0090,0.0023969742905115836
3DI,1,id0091,0.00228827727694853
3DI,1,id0092,0.002284770638838993
3DI,1,id0093,0.0018871511711916035
3DI,1,id0094,0.002126641218241634
3DI,1,id0095,0.001998451246337587
3DI,1,id0096,0.0021704526528780726
3DI,1,id0097,0.00296638791612683
3DI,1,id0098,0.0016573301401964003
