F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,1.9070986716448879,0.04300278582410181,0.11355774837823453,99
1,5,1.9008232681288244,0.04161245501225457,0.11196884462804631,99
1,10,1.964623756414189,0.039025839502771734,0.11194830539800497,99
1,15,1.9633508872826417,0.038896460053142394,0.11152340960828631,99
3,5,2.1436674937955846,0.02566256308084077,0.10633295126685756,99
3,10,2.2087711191563444,0.02286862848996078,0.10630906716205156,99
3,15,2.23853126701012,0.02146023467806562,0.10588833921183746,99
5,10,2.354357471209124,0.016409121870336062,0.10507757376930325,99
5,15,2.3869041035851297,0.014836471245646365,0.10464226118575146,99
10,15,2.518871669794118,0.009067358636253572,0.10437868853516641,99
