scenario,sample_name,subject_id,topology_label,template_sample_name,rotation_angle_deg,rotation_axis_x,rotation_axis_y,rotation_axis_z,translation_x,translation_y,translation_z,translation_norm
clean,id0478_GTready_crop,id0478,crop,id0478_GTready_down8k,0.8134917143956975,-0.9627722579731749,0.09038570294320575,0.2547547918699407,-0.02151837758719921,-0.010190044529736042,0.016207648441195488,0.028802177860305412
clean,id0478_GTready_down8k,id0478,down8k,id0478_GTready_down8k,1.2429317082593527,-0.8359281360836092,-0.26702670246254495,0.4795006689002244,0.003261363599449396,-0.01484315562993288,-0.00024324707919731736,0.015199175330384201
clean,id0478_GTready_noisy,id0478,noisy,id0478_GTready_down8k,2.960748631254948,0.9163102689419499,0.38240137886000203,-0.11893139399460818,-0.021150019019842148,0.009142638184130192,6.59539655316621e-05,0.023041603404085606
clean,id0478_GTready_original,id0478,original,id0478_GTready_down8k,1.0763824334622425,0.308824779669136,0.9510598632292799,0.010601510110024422,0.006404893472790718,-0.028339773416519165,0.027236491441726685,0.039824513603466574
clean,id0478_GTready_remesh,id0478,remesh,id0478_GTready_down8k,0.47847238467254694,-0.06071423207059647,-0.838066531204359,0.5421791874455999,-0.008343061432242393,0.0009789870819076896,-0.0014405128313228488,0.008522920097356211
clean,id0478_GTready_up60k,id0478,up60k,id0478_GTready_down8k,1.9542956638950424,0.1565811584058539,0.2862039329813035,0.9452881304545797,-0.00888354703783989,0.0036237407475709915,0.002157626673579216,0.009833832306972738
clean,id0485_GTready_crop,id0485,crop,id0478_GTready_down8k,1.4032571868376715,0.6015835274712946,0.7233697290071085,0.338870911456526,-0.013944362290203571,-0.003009744454175234,0.041614700108766556,0.04399189773699772
clean,id0485_GTready_down8k,id0485,down8k,id0478_GTready_down8k,1.2829844417788172,-0.8563716136406435,-0.27843081234401396,0.4348608307125083,0.009324057027697563,0.02643011324107647,-0.013677835464477539,0.03118608837903852
clean,id0485_GTready_noisy,id0485,noisy,id0478_GTready_down8k,2.907676830884503,-0.44005415096187417,0.8875586295723249,-0.13635256980680882,-0.006119266618043184,-0.0007828035741113126,0.010397880338132381,0.012090249000928768
clean,id0485_GTready_original,id0485,original,id0478_GTready_down8k,0.7332870454234364,-0.42929192458818793,0.6984216938349406,-0.5726391368602937,-0.005241535138338804,-0.008965087123215199,0.007695615291595459,0.012925516332027794
clean,id0485_GTready_remesh,id0485,remesh,id0478_GTready_down8k,2.6753978311280604,0.8759864973508202,-0.45908511429027704,0.14794767418288438,0.003734590718522668,0.0015223853988572955,0.017977584153413773,0.01842439570598188
clean,id0485_GTready_up60k,id0485,up60k,id0478_GTready_down8k,1.632068329797753,-0.7580640253372339,0.634333352355114,0.15152600958064047,0.00020555102673824877,0.006257533095777035,-0.00962475873529911,0.011481940270792851
clean,id0489_GTready_crop,id0489,crop,id0478_GTready_down8k,3.0144130512104326,-0.05982243751558793,-0.34550003472482055,0.9365100116789149,0.005800897721201181,0.0018269281135872006,0.052279867231845856,0.05263242915241023
clean,id0489_GTready_down8k,id0489,down8k,id0478_GTready_down8k,1.6519715280555103,0.13607279330630057,-0.9676806552134047,-0.21231661368714563,0.0003309424500912428,-0.00029701125458814204,-0.029788518324494362,0.029791837179995475
clean,id0489_GTready_noisy,id0489,noisy,id0478_GTready_down8k,2.9082153677878217,-0.31471889618229637,0.6930209156774115,-0.6485938843524807,0.005315442103892565,-0.014213514514267445,0.0020693608094006777,0.015315357448215453
