scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.522661,0.570883,-0.048221,0.531925,0.543788,-0.011863,0,10,20,45,90,45
translation,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,1.000000e-01,0.000000,0.004000,0.543083,0.634651,-0.091568,0.519378,0.598301,-0.078924,0,10,20,45,90,45
