method,pearson_r,spearman_r,n_points
3DDFAV2_23470_neutral,-0.6902918415044772,0.08571428571428573,6
3DDFAV3_neutral,-0.9719258261982194,-0.2571428571428572,6
Deep3DFace_23470_neutral,-0.9873160174848694,-0.48571428571428577,6
SynergyNet_neutral,-0.9704843828663887,-0.8285714285714287,6
