F,wbse,within_mean,within_std,within_cv,between_mean,n_subjects,type,compare,F1,F2
1.0,0.9042635617511344,0.12679017305808948,0.044390728931516646,2.8562309317716714,0.1667824562556561,99,inter,F,,
3.0,1.6351592126666161,0.07411483992411247,0.024802803080693315,2.9881638653094016,0.12896352473772082,99,inter,F,,
5.0,1.9977112220660218,0.05413589576397513,0.017196922498334297,3.1479990544365575,0.11908473506104776,99,inter,F,,
10.0,2.1990937749251507,0.03852836815711828,0.011930965785715494,3.2292748842886527,0.11112626107546728,99,inter,F,,
15.0,2.3308499252052175,0.03269689363215883,0.011350792857417311,2.8805823560415567,0.10968595888673804,99,inter,F,,
,2.043238282198719,0.05508871456964607,,,0.12095629939721048,99,intra,F1_vs_F2,1.0,3.0
,2.041920160499178,0.05449112791441209,,,0.1198302087033167,99,intra,F1_vs_F2,1.0,5.0
,2.071648227560129,0.05086409553699112,,,0.11822907863079644,99,intra,F1_vs_F2,1.0,10.0
,2.086680251393843,0.050388121406511395,,,0.1181060383051508,99,intra,F1_vs_F2,1.0,15.0
,2.4943063806849626,0.03174504205832233,,,0.1112877037510143,99,intra,F1_vs_F2,3.0,5.0
,2.5265592187956445,0.02711457664989854,,,0.10944933431119755,99,intra,F1_vs_F2,3.0,10.0
,2.5773156320930877,0.025438638911929025,,,0.10929249202355802,99,intra,F1_vs_F2,3.0,15.0
,2.5689202032841063,0.024198150963653815,,,0.10800945188268908,99,intra,F1_vs_F2,5.0,10.0
,2.654469602203004,0.021425666970567886,,,0.1078478784595732,99,intra,F1_vs_F2,5.0,15.0
,2.8735352382121375,0.011416797684076217,,,0.10591606335273737,99,intra,F1_vs_F2,10.0,15.0
