metric,count,mean_abs_rank_error,median_abs_rank_error,spearman_vs_gt,pearson_vs_gt
latent_distance,300,36.0,29.75,0.8432816091922534,0.850207856783627
raw_chamfer,300,84.62,73.0,0.24896281456475142,0.24495940789013299
rigid_registered_chamfer,300,86.24666666666667,76.75,0.24431628159619945,0.06504276525801472
nicp_correspondence,300,90.72666666666667,77.75,0.1690222210287319,0.12074694426291645
