scenario,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,raw_chamfer,rigid_registered_chamfer,nicp_correspondence,metric,metric_value,gt_rank,raw_abs_rank_error,metric_abs_rank_error,extra_abs_rank_error_vs_raw
translation,id0051,down8k,id0051_GTready_down8k,id0456,up60k,id0456_GTready_up60k,0.3394517600536346,0.0035251528024673,0.0113644348457455,0.1161667039596593,rigid_registered_chamfer,0.0113644348457455,104.0,2.0,147.0,145.0
translation,id0084,down8k,id0084_GTready_down8k,id0478,up60k,id0478_GTready_up60k,0.5340049862861633,0.007425726391375,0.0026604831218719,0.0979700658173439,rigid_registered_chamfer,0.0026604831218719,262.0,54.0,166.0,112.0
translation,id0084,noisy,id0084_GTready_noisy,id0158,original,id0158_GTready_original,0.4561443328857422,0.0054916888475418,0.0021208929829299,0.0899450538662862,rigid_registered_chamfer,0.0021208929829299,201.5,36.5,135.5,99.0
translation,id0084,original,id0084_GTready_original,id0478,noisy,id0478_GTready_noisy,0.5340049862861633,0.0059283394366502,0.0024329430889338,0.0870953534131626,rigid_registered_chamfer,0.0024329430889338,262.0,84.0,175.0,91.0
translation,id0051,down8k,id0051_GTready_down8k,id0456,original,id0456_GTready_original,0.3394517600536346,0.0049471948295831,0.0098264655098319,0.1130507719193366,rigid_registered_chamfer,0.0098264655098319,104.0,46.0,135.0,89.0
translation,id0158,up60k,id0158_GTready_up60k,id0267,down8k,id0267_GTready_down8k,0.3202216327190399,0.0035033733583986,0.0055966954678297,0.0963560171700035,rigid_registered_chamfer,0.0055966954678297,70.5,32.5,117.5,85.0
translation,id0084,down8k,id0084_GTready_down8k,id0485,noisy,id0485_GTready_noisy,0.3869602382183075,0.0052475361153483,0.0022095614112913,0.0923056527748144,rigid_registered_chamfer,0.0022095614112913,155.0,1.0,85.0,84.0
translation,id0084,down8k,id0084_GTready_down8k,id0478,noisy,id0478_GTready_noisy,0.5340049862861633,0.0095035023987293,0.0044346461072564,0.1015980804978567,rigid_registered_chamfer,0.0044346461072564,262.0,29.0,111.0,82.0
translation,id0129,crop,id0129_GTready_crop,id0456,down8k,id0456_GTready_down8k,0.3427438139915466,0.0053396741859614,0.0101166665554046,0.1132545103066092,rigid_registered_chamfer,0.0101166665554046,118.5,42.5,123.5,81.0
translation,id0051,original,id0051_GTready_original,id0478,crop,id0478_GTready_crop,0.3061218857765198,0.0036096042022109,0.0059223864227533,0.0942210652302091,rigid_registered_chamfer,0.0059223864227533,54.0,58.0,139.0,81.0
translation,id0051,up60k,id0051_GTready_up60k,id0456,original,id0456_GTready_original,0.3394517600536346,0.0034062089398503,0.0052398359403014,0.1079465223663807,rigid_registered_chamfer,0.0052398359403014,104.0,4.0,77.0,73.0
translation,id0084,down8k,id0084_GTready_down8k,id0129,noisy,id0129_GTready_noisy,0.5342274308204651,0.005729523487389,0.0027181822806596,0.1005179849770093,rigid_registered_chamfer,0.0027181822806596,268.0,98.0,169.0,71.0
translation,id0059,up60k,id0059_GTready_up60k,id0478,noisy,id0478_GTready_noisy,0.3204611837863922,0.0028581009246408,0.0009776235092431,0.0926038116448377,rigid_registered_chamfer,0.0009776235092431,78.0,0.0,71.0,71.0
translation,id0051,crop,id0051_GTready_crop,id0084,noisy,id0084_GTready_noisy,0.6307607293128967,0.018354931846261,0.0080325081944465,0.1175533282433303,rigid_registered_chamfer,0.0080325081944465,297.5,12.5,81.5,69.0
translation,id0478,noisy,id0478_GTready_noisy,id0485,down8k,id0485_GTready_down8k,0.3423743844032287,0.0039199045859277,0.0016390901291742,0.08258579524424,rigid_registered_chamfer,0.0016390901291742,111.0,15.0,80.0,65.0
translation,id0478,original,id0478_GTready_original,id0485,up60k,id0485_GTready_up60k,0.3423743844032287,0.0030973609536886,0.0013521490618586,0.0834833176907346,rigid_registered_chamfer,0.0013521490618586,111.0,26.0,91.0,65.0
translation,id0129,up60k,id0129_GTready_up60k,id0478,noisy,id0478_GTready_noisy,0.3914227783679962,0.0025998295750468,0.0008582443697378,0.0817850785074021,rigid_registered_chamfer,0.0008582443697378,171.0,106.0,168.0,62.0
translation,id0059,remesh,id0059_GTready_remesh,id0267,noisy,id0267_GTready_noisy,0.2867189645767212,0.0020679926965385,0.0027638217434287,0.0994901561557494,rigid_registered_chamfer,0.0027638217434287,32.5,6.5,67.5,61.0
translation,id0478,noisy,id0478_GTready_noisy,id0489,up60k,id0489_GTready_up60k,0.4157305955886841,0.0058412123471498,0.0032991566695272,0.1003493713777108,rigid_registered_chamfer,0.0032991566695272,184.0,7.0,67.0,60.0
translation,id0084,original,id0084_GTready_original,id0478,down8k,id0478_GTready_down8k,0.5340049862861633,0.0045082275755703,0.0022725402377545,0.0824054874278567,rigid_registered_chamfer,0.0022725402377545,262.0,126.0,184.0,58.0
translation,id0129,original,id0129_GTready_original,id0485,remesh,id0485_GTready_remesh,0.4702528715133667,0.0032332758419215,0.0017623959574848,0.0873443276031435,rigid_registered_chamfer,0.0017623959574848,219.0,126.0,181.0,55.0
translation,id0187,noisy,id0187_GTready_noisy,id0485,original,id0485_GTready_original,0.3891295492649078,0.0032226811163127,0.0017084656283259,0.08945653453845,rigid_registered_chamfer,0.0017084656283259,166.0,75.0,130.0,55.0
translation,id0059,down8k,id0059_GTready_down8k,id0129,noisy,id0129_GTready_noisy,0.408423900604248,0.0027388227172195,0.0013421548064798,0.087063581662095,rigid_registered_chamfer,0.0013421548064798,181.0,108.0,162.0,54.0
translation,id0068,up60k,id0068_GTready_up60k,id0158,crop,id0158_GTready_crop,0.3173516094684601,0.0101292617619037,0.0245087072253227,0.1518752489882052,rigid_registered_chamfer,0.0245087072253227,63.0,177.0,230.0,53.0
translation,id0059,noisy,id0059_GTready_noisy,id0084,up60k,id0084_GTready_up60k,0.3494694232940674,0.0027488793712109,0.0016000564210116,0.0893889568499672,rigid_registered_chamfer,0.0016000564210116,126.5,51.5,99.5,48.0
translation,id0051,down8k,id0051_GTready_down8k,id0456,up60k,id0456_GTready_up60k,0.3394517600536346,0.0035251528024673,0.0113644348457455,0.1161667039596593,nicp_correspondence,0.1161667039596593,104.0,2.0,146.0,144.0
translation,id0084,original,id0084_GTready_original,id0478,noisy,id0478_GTready_noisy,0.5340049862861633,0.0059283394366502,0.0024329430889338,0.0870953534131626,nicp_correspondence,0.0870953534131626,262.0,84.0,210.0,126.0
translation,id0084,original,id0084_GTready_original,id0478,down8k,id0478_GTready_down8k,0.5340049862861633,0.0045082275755703,0.0022725402377545,0.0824054874278567,nicp_correspondence,0.0824054874278567,262.0,126.0,250.0,124.0
translation,id0187,crop,id0187_GTready_crop,id0485,remesh,id0485_GTready_remesh,0.3891295492649078,0.0060506761074066,0.0038005751557648,0.0847974893294078,nicp_correspondence,0.0847974893294078,166.0,13.0,134.0,121.0
translation,id0129,original,id0129_GTready_original,id0267,crop,id0267_GTready_crop,0.5515099167823792,0.0068340948782861,0.0049345456063747,0.0902519649795373,nicp_correspondence,0.0902519649795373,285.5,89.5,208.5,119.0
translation,id0059,remesh,id0059_GTready_remesh,id0267,noisy,id0267_GTready_noisy,0.2867189645767212,0.0020679926965385,0.0027638217434287,0.0994901561557494,nicp_correspondence,0.0994901561557494,32.5,6.5,122.5,116.0
translation,id0068,down8k,id0068_GTready_down8k,id0267,noisy,id0267_GTready_noisy,0.2843898236751556,0.0019747493788599,0.0020457745995372,0.0986318156264835,nicp_correspondence,0.0986318156264835,26.0,8.0,124.0,116.0
translation,id0129,original,id0129_GTready_original,id0485,down8k,id0485_GTready_down8k,0.4702528715133667,0.0043837181292474,0.0032554611098021,0.0835387328469106,nicp_correspondence,0.0835387328469106,219.0,87.0,198.0,111.0
translation,id0187,up60k,id0187_GTready_up60k,id0267,original,id0267_GTready_original,0.483904093503952,0.0050274580717086,0.0037184464745223,0.0863904170075776,nicp_correspondence,0.0863904170075776,235.5,84.5,192.5,108.0
translation,id0059,up60k,id0059_GTready_up60k,id0068,down8k,id0068_GTready_down8k,0.3045295774936676,0.0018574143759906,0.0018379266839474,0.1017251622440882,nicp_correspondence,0.1017251622440882,47.0,23.0,125.0,102.0
translation,id0068,remesh,id0068_GTready_remesh,id0187,original,id0187_GTready_original,0.5425209999084473,0.0080335792154073,0.0082300538197159,0.0943453988489582,nicp_correspondence,0.0943453988489582,278.0,64.0,164.0,100.0
translation,id0051,up60k,id0051_GTready_up60k,id0456,original,id0456_GTready_original,0.3394517600536346,0.0034062089398503,0.0052398359403014,0.1079465223663807,nicp_correspondence,0.1079465223663807,104.0,4.0,103.0,99.0
translation,id0084,noisy,id0084_GTready_noisy,id0158,original,id0158_GTready_original,0.4561443328857422,0.0054916888475418,0.0021208929829299,0.0899450538662862,nicp_correspondence,0.0899450538662862,201.5,36.5,128.5,92.0
translation,id0158,noisy,id0158_GTready_noisy,id0267,original,id0267_GTready_original,0.3202216327190399,0.0022576763294637,0.002520790323615,0.1039264869384608,nicp_correspondence,0.1039264869384608,70.5,23.5,115.5,92.0
translation,id0084,down8k,id0084_GTready_down8k,id0267,up60k,id0267_GTready_up60k,0.4591736793518066,0.0044681243598461,0.0027970517985522,0.0866677304708863,nicp_correspondence,0.0866677304708863,205.0,70.0,158.0,88.0
translation,id0478,noisy,id0478_GTready_noisy,id0485,down8k,id0485_GTready_down8k,0.3423743844032287,0.0039199045859277,0.0016390901291742,0.08258579524424,nicp_correspondence,0.08258579524424,111.0,15.0,98.0,83.0
translation,id0051,down8k,id0051_GTready_down8k,id0456,original,id0456_GTready_original,0.3394517600536346,0.0049471948295831,0.0098264655098319,0.1130507719193366,nicp_correspondence,0.1130507719193366,104.0,46.0,129.0,83.0
translation,id0158,remesh,id0158_GTready_remesh,id0478,up60k,id0478_GTready_up60k,0.2481215149164199,0.0022820234298706,0.0022581391967833,0.0952459035532653,nicp_correspondence,0.0952459035532653,8.5,39.5,114.5,75.0
translation,id0267,original,id0267_GTready_original,id0489,down8k,id0489_GTready_down8k,0.3458660542964935,0.003786459332332,0.0022564900573343,0.0869900690102229,nicp_correspondence,0.0869900690102229,123.0,1.0,75.0,74.0
translation,id0129,crop,id0129_GTready_crop,id0456,down8k,id0456_GTready_down8k,0.3427438139915466,0.0053396741859614,0.0101166665554046,0.1132545103066092,nicp_correspondence,0.1132545103066092,118.5,42.5,116.5,74.0
translation,id0084,up60k,id0084_GTready_up60k,id0485,down8k,id0485_GTready_down8k,0.3869602382183075,0.0031677088700234,0.002081916667521,0.0828363458444817,nicp_correspondence,0.0828363458444817,155.0,67.0,140.0,73.0
translation,id0059,crop,id0059_GTready_crop,id0068,noisy,id0068_GTready_noisy,0.3045295774936676,0.0042630839161574,0.0045758532360196,0.1065993027622778,nicp_correspondence,0.1065993027622778,47.0,82.0,151.0,69.0
translation,id0084,remesh,id0084_GTready_remesh,id0456,noisy,id0456_GTready_noisy,0.5590712428092957,0.0099165216088294,0.0056271664798259,0.1012108098147008,nicp_correspondence,0.1012108098147008,291.0,55.0,123.0,68.0
translation,id0129,original,id0129_GTready_original,id0485,crop,id0485_GTready_crop,0.4702528715133667,0.0053801778703927,0.0036922334693372,0.0922711574523724,nicp_correspondence,0.0922711574523724,219.0,57.0,124.0,67.0
translation,id0068,down8k,id0068_GTready_down8k,id0158,remesh,id0158_GTready_remesh,0.3173516094684601,0.0037205424159765,0.0034964890219271,0.1033535378432695,nicp_correspondence,0.1033535378432695,63.0,54.0,121.0,67.0
