name,Delta_mu,EMD,KS_stat,KS_p,CvM_stat,CvM_p,MMD,MMD_p
lat_field,-0.20604663740192714,0.20604690016895552,0.643819095477387,0.0,1951.61389831633,3.770426152405193e-07,0.4909321812216918,0.0
lat_mean,-0.2590316942817502,0.2590316942817502,0.7493467336683417,0.0,2418.8528411271172,4.300199493156853e-07,0.6859426637345273,0.0
